case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,1,90036,4,4,24.850000000000218,0.23317473090696747,2.503478063731904
case2,1,90036,12,4,24.850000000000218,0.144755650793359,1.9234259935307483
case2,1,90036,1,1,26.150000000000237,0.28695150519935475,2.846103612150779
case2,1,90036,17,1,26.150000000000237,0.07521382610216706,2.0622220492021017
case2,1,90036,5,5,26.750000000000245,0.16617218988388494,1.33013472745365
case2,1,90036,13,5,26.750000000000245,0.17803561372058688,0.7150614741063261
case2,1,90036,7,7,27.550000000000257,0.12020518780099401,1.272033519563803
case2,1,90036,15,7,27.550000000000257,0.3338044655890165,2.5089357482474908
case2,1,90036,11,3,28.000000000000263,0.189919637884769,2.089376639026492
case2,1,90036,19,3,28.000000000000263,0.4142896937125973,1.7896656275692613
case2,1,90036,0,0,29.10000000000028,0.23135292340994798,2.9840268641268586
case2,1,90036,8,0,29.15000000000028,0.45072686024639463,1.8454871024370514
case2,1,90036,16,0,29.30000000000028,0.0900350522270458,1.1653043426380303
case2,1,90036,14,6,31.050000000000306,0.14338019883418082,0.9232145619308051
case2,1,90036,10,2,37.15000000000003,0.4207156471881388,2.87653545975227
case2,1,90036,2,2,37.25000000000002,0.4704604803543472,2.7803012960463693
