update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,6000,403461.1693556681,0.0,0.0,0.9125,1.0,0.875,0.84375,1.5499999999999303,0.01048827648168697,0.0002207816565551888,0.990197342964014,-0.048932179826078934,0.9132618650794029,2.758775544166565,0.3370359293203113,0.8962979912757874,2.5234747499227526,9.23792195469141,0.09852612533569335,0.0002714480406590546,160.95317792892456
2,12000,381573.602005098,0.0,0.0,0.8625,0.96875,0.8125,0.75,3.2196428571427074,0.010957885530549901,0.00042540179155807343,0.9893572475399539,-0.01516930591315031,0.3729217633605003,2.766902816295624,-0.10865492409089572,1.098562663793564,6.244542646408081,1.12437554448843,0.15404419634882632,0.00019669804065905458,309.8377890586853
3,18000,387148.14758595824,0.0,0.0,0.875,1.0,0.8125,0.8125,0.14910714285714002,0.011413313842418124,0.0006416975519295802,0.9894346710493216,-0.012572910264134407,0.3346328854560852,2.772085440158844,-0.21221025396212106,1.2201947331428529,5.653862756490708,2.0147039905190467,0.2676065679467179,0.00010430195934094532,458.49204301834106
4,24000,392481.9737161994,0.0,0.0,0.8875,0.96875,0.875,0.8125,2.9607142857141486,0.011899042907785035,0.0008552100952345946,0.9895157354350066,-0.036052734719123694,0.2645577646791935,2.7764147400856016,-0.13788246630074816,1.1111191004514693,9.191631031036376,0.5721116103231907,0.3443613701907086,2.955195934094536e-05,605.8942365646362
5,30000,392604.5551058352,0.0,0.0,0.8875,0.96875,0.8125,0.78125,1.5617857142856442,0.01236169183997772,0.0010665852859118837,0.9888178361562392,-0.0017124086152762175,0.24425749406218528,2.779702126979828,-0.020262859867814724,1.0095353484153748,3.507020968198776,0.6309012360870838,0.35893607131353705,1e-06,755.2781867980957
