seed,defender_id,target_index,target_id,hit_time_s,miss_at_arrival_m,min_distance_m
74009,0,7,27,34.75,0.5645923727404808,0.5645923727404808
74009,1,0,20,37.9,0.2006626462943011,0.2006626462943011
74009,2,5,25,38.95,0.7411893892661564,0.7411893892661564
74009,3,3,23,32.300000000000004,0.16959904172285656,0.16959904172285656
74009,4,4,24,36.0,2.7808565079303484,0.720860713871959
74009,5,2,22,35.6,2.3673835311413938,2.3673835311413938
74009,6,6,26,35.9,1.0292250552917914,1.0292250552917914
74009,7,6,26,35.85,1.916948373278022,0.6617788494548881
74009,8,7,27,34.800000000000004,2.4486801729343837,2.4486801729343837
74009,9,1,21,34.550000000000004,0.6320712260189144,0.6320712260189144
74009,10,4,24,36.050000000000004,2.9568281822352485,2.9568281822352485
74009,11,3,23,32.2,1.9258384978901313,0.3988321897915474
74009,12,5,25,38.900000000000006,0.9768625768505858,0.9234365853136292
74009,13,2,22,35.6,0.6389847235005277,0.6389847235005277
74009,14,0,20,37.9,1.0693632752338529,1.0693632752338529
74009,15,7,27,34.800000000000004,0.7410494488007968,0.7410494488007968
74009,16,0,20,37.9,2.5534300485172525,2.5534300485172525
74009,17,1,21,34.6,0.4411307201378365,0.4411307201378365
74009,18,5,25,38.900000000000006,1.210782260084621,0.6892954433183388
74009,19,4,24,35.95,1.5209721632360844,0.539123281218472
