case,dataset_kind,metric,n,mean,std,cv,q1,median,q3,iqr,skewness,min,max
case1,paper_nominal_mc_source,E_co_time_s,1000,0.05050416666618196,0.0118241837661407,0.23412293572320794,0.04166666666682772,0.0491666666666276,0.0583333333324845,0.016666666665656776,0.34377761211575086,0.0191666666663878,0.0899999999986903
case1,paper_nominal_mc_source,E_n_g,1000,0.07175101407179878,0.011144467030937345,0.15532138709266824,0.06362089863753068,0.07168134915751101,0.07919675560918893,0.015575856971658253,0.09650950475625018,0.0353751514261434,0.10800580721945
case1,paper_nominal_mc_source,E_miss_m,1000,2.997316933247902,0.2668446706836123,0.08902784611250922,2.8169492236467026,2.981761991211905,3.1823007457194126,0.36535152207270993,0.07459596102930229,2.22048189787385,3.83651080684731
case1,paper_nominal_mc_source,E_t_s,1000,28.8435,0.8487332314090794,0.029425459164424548,28.4,28.95,29.45,1.0500000000000007,-0.877115638320133,25.65,30.5
case1,synthetic_failure_reference_v3,E_co_time_s,1000,0.05836903596423097,0.018530292983896378,0.3174678607892701,0.045622951918852135,0.056196104916266,0.06944841570618653,0.02382546378733439,0.6947195798620295,0.008506287585171645,0.1454162427352601
case1,synthetic_failure_reference_v3,E_n_g,1000,0.09690561798414592,0.03583287278033879,0.36977085050116665,0.07372788853124132,0.09025232104783155,0.11067521337721109,0.03694732484596977,1.6587128967819358,0.024029349021596324,0.3443875863921033
case1,synthetic_failure_reference_v3,E_miss_m,1000,3.306120936285926,0.5091331685800299,0.15399713996911035,2.9504946060905377,3.260588568453468,3.5887965979308865,0.6383019918403487,0.6426978066694697,1.897320750949555,5.4024140330573225
case1,synthetic_failure_reference_v3,E_t_s,1000,30.86495,2.49291468388333,0.08076846662260363,29.3,30.400000000000002,32.0125,2.712500000000002,1.1503774971445921,25.05,42.0
case2,paper_nominal_mc_source,E_co_time_s,1000,0.08476666666623124,0.0362476014491744,0.42761621843524106,0.059999999998945,0.0766666666653691,0.104166666665151,0.04416666666620599,1.520113606636619,0.0275000000000048,0.316666666662059
case2,paper_nominal_mc_source,E_n_g,1000,0.1658156531294892,0.05038652384865847,0.30387073172947365,0.12345432143224651,0.167409694628604,0.20842262053969673,0.08496829910745023,-0.04481906675267441,0.0491885310032788,0.27893158618029
case2,paper_nominal_mc_source,E_miss_m,1000,3.0865607819513214,0.26607166054920445,0.08620327910114706,2.9050433456113525,3.077010270846925,3.2640571441510677,0.35901379853971527,0.06401486240019741,2.20447206149837,3.89256392178558
case2,paper_nominal_mc_source,E_t_s,1000,33.3974,2.736138646833288,0.08192669629472019,31.6,33.1,34.95,3.3500000000000014,0.6712106969067089,26.7,44.65
case2,synthetic_failure_reference_v3,E_co_time_s,1000,0.11276744220243132,0.06009645807696965,0.5329238377961005,0.07183967744231605,0.10192520910471484,0.14047372952583265,0.0686340520835166,1.3497000912072081,0.007943608725865258,0.4681528350242741
case2,synthetic_failure_reference_v3,E_n_g,1000,0.24133787281006716,0.11235068650620612,0.4655327620071719,0.15920304886032838,0.23456441821072388,0.30978860901876915,0.15058556015844077,0.6627151484823728,0.016316682983734683,0.7339981873863737
case2,synthetic_failure_reference_v3,E_miss_m,1000,3.687526666922858,0.7105740362322007,0.1926966501981003,3.208019259306098,3.596886297164985,4.079733328007464,0.8717140687013658,0.9111855796048063,2.273804591360996,6.940744930599188
case2,synthetic_failure_reference_v3,E_t_s,1000,37.47515,4.543852613594996,0.12124975119766022,34.087500000000006,37.075,40.800000000000004,6.712499999999999,0.02893152147540682,26.150000000000002,45.0
