case,time_relative_to_closest_s,absolute_time_s,distance_m,closing_speed_mps,range_rate_mps,los_rate_radps,heading_error_deg,tgo_s,nx_g,ny_g,nz_g,lateral_control_g
case1,-2.0,26.35,166.29811115879843,82.04951134935745,-82.04951134935745,0.0044794828455884,6.220232188621464,4.389510617675388,0.020709367055654397,0.026110761321084586,0.1695469376949832,0.17154572550347374
case1,-1.0,27.35,84.22772478871568,81.9552716717697,-81.9552716717697,0.045381076593364225,9.89748122227493,2.21123336158165,0.021226658507598677,0.013736989448046466,0.4521591912606522,0.45236781397506914
case1,-0.5,27.85,43.18751080436417,82.17964372538907,-82.17964372538907,0.12006405328605362,9.435323189548651,1.1306454621898054,0.022735667476679006,-0.33165429072295827,-0.5892332913172018,0.6761585909765925
case1,-0.25,28.1,22.672145466640615,81.85360889280435,-81.85360889280435,0.43133391724254966,12.33634088964089,0.592646765013562,0.024784276541597202,-0.3777545857136374,-0.2168327312020648,0.4355628087293826
case1,0.0,28.35,3.160684377699248,50.08170665099637,-50.08170665099637,20.787264430255135,57.1654888530521,0.08248193962647529,0.025301415054079564,-0.4166001903748864,-0.2201330407700437,0.47118390704591906
case1,0.25,28.6,18.901243520233095,-81.92717912253912,81.92717912253912,0.6157417882549533,175.30519407210647,0.49272598180085997,0.012230370333901903,-0.5783009523765836,-0.01657867186296122,0.5785385413958204
case1,0.5,28.85,39.49164391253053,-82.58540349135683,82.58540349135683,0.1494150424614759,178.79968853978085,1.0289824491991886,0.005276813955522274,-0.10235492589104808,-0.07791689621144085,0.128637372366612
case1,1.0,29.35,80.80869420107528,-82.5028294222028,82.5028294222028,0.012584003454747396,173.84798199463532,2.1051519515088484,-0.0008202984652935954,0.8219635251424736,-0.7767817008557057,1.1309349439507672
case1,2.0,30.35,162.0285689476737,-79.3175931645085,79.3175931645085,0.060529539578425946,156.41324691745305,4.222684700215765,-0.001434513026128346,0.9953560870996553,-0.9941775619865606,1.4068129814882566
case2,-2.0,24.150000000000002,161.0305928535012,80.24852750656743,-80.24852750656743,0.02491887727621719,21.940639266623936,4.02576482133753,0.19676258519421225,0.5085846775594707,0.08162205596123737,0.5150927433653187
case2,-1.0,25.150000000000002,81.56096645496801,79.21556785424639,-79.21556785424639,0.07233827244816073,25.344391721439766,2.0390241613742,0.2376617152896996,-0.1940738049522963,-0.15252321569884808,0.24683592343048305
case2,-0.5,25.650000000000002,41.905693164775435,79.42331675364639,-79.42331675364639,0.18315230724339568,25.853024057878734,1.047642329119386,0.2723271664900289,-0.46332421087638953,0.07037778447105773,0.46863883421168134
case2,-0.25,25.900000000000002,22.071473902707055,79.07448701292635,-79.07448701292635,0.5478563579245207,28.584688514472525,0.5517868475676764,0.2805317337442393,-0.5200254836944465,-0.11121036357012618,0.5317840244469955
case2,0.0,26.150000000000002,3.5743973919113023,41.32433383416827,-41.32433383416827,19.312623836211966,77.92741756305858,0.08935993479778256,0.2868849975551323,-0.7336482421327986,-0.036395894824059596,0.7345504777376362
case2,0.25,26.400000000000002,18.513516447524157,-79.23534835963318,79.23534835963318,0.7361840101211964,170.79271945617333,0.4628379111881039,0.1420169998157642,0.03794838865675046,0.02706869410837129,0.04661324277902538
case2,0.5,26.650000000000002,38.43757271356514,-79.79496489041097,79.79496489041097,0.1582845960567934,164.50190331705548,0.9609393178391284,0.06694791264536884,0.46612970244211416,-0.34083726241947937,0.5774486461603134
case2,1.0,27.150000000000002,78.02202417625602,-78.34794066062344,78.34794066062344,0.034139896795368704,157.1548109904954,1.9505506044064007,0.01345143929893227,0.8355966985183185,-0.7639013883232615,1.1321515683233054
case2,2.0,28.150000000000002,153.60876721909065,-72.3066310592469,72.3066310592469,0.0587309636840499,142.25653470175652,3.8402191804772663,0.005280850086428984,0.9844094984892523,-0.9776105727265958,1.3873660269095116
