case,episode,seed,target_index,assigned_defenders,active_defenders,active_hits,target_covered,active_group_complete,coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
case1,1,89001,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.489235330334935,1.3336902165839402,31.35000000000031
case1,1,89001,1,3,3,3,1,1,1,0.0,0.0,0.18955666006450814,2.0954125774299834,28.350000000000268
case1,1,89001,2,3,1,1,1,1,1,0.0,0.0,0.3836792828195828,2.5667911420500817,35.950000000000095
case1,1,89001,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.23663797626984331,1.9025333532980788,30.200000000000294
case1,1,89001,4,2,2,2,1,1,1,0.0,0.0,0.044566033027973975,2.006192057162005,26.750000000000245
case1,1,89001,5,2,2,2,1,1,1,0.0,0.0,0.3169147945357587,1.480499052323998,33.10000000000026
case1,1,89001,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.36398648370449593,1.1985406349645742,29.25000000000028
case1,1,89001,7,2,2,2,1,1,1,0.0,0.0,0.4818089934408917,0.6374479451333702,28.50000000000027
case1,2,89002,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.2650922085190965,1.41383458802176,31.35000000000031
case1,2,89002,1,3,2,2,1,1,1,0.0,0.0,0.44122271042148486,2.283077706703399,29.600000000000286
case1,2,89002,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.14409079642789127,1.2723874990475235,33.10000000000026
case1,2,89002,3,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.21171375546707946,2.168104966291064,31.500000000000313
case1,2,89002,4,2,2,2,1,1,1,0.0,0.0,0.10291794188164656,2.0143637440775426,26.750000000000245
case1,2,89002,5,2,2,2,1,1,1,0.0,0.0,0.09905831604443963,1.962678808907821,33.05000000000026
case1,2,89002,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1959974767577983,1.2808687245623849,29.25000000000028
case1,2,89002,7,2,2,2,1,1,1,0.0,0.0,0.21553410882191226,0.5448109430324308,28.50000000000027
case1,3,89003,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.18329180400397124,1.868091056439258,31.35000000000031
case1,3,89003,1,3,3,3,1,1,1,0.0,0.0,0.3459990290462132,1.5808399297713367,28.350000000000268
case1,3,89003,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.2349675406239666,1.5591487598817764,33.10000000000026
case1,3,89003,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.13545438216038153,1.1666821791862394,30.200000000000294
case1,3,89003,4,2,1,1,1,1,1,0.0,0.0,0.21604867494703484,2.2795712487850164,27.70000000000026
case1,3,89003,5,2,2,2,1,1,1,0.0,0.0,0.33623645546325875,1.2704558613881436,33.05000000000026
case1,3,89003,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4028118224669479,1.4803325110289474,29.25000000000028
case1,3,89003,7,2,1,1,1,1,1,0.0,0.0,0.19268441969500294,2.32486731920747,29.85000000000029
case1,4,89004,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.24335859020088044,1.1957751588795518,31.35000000000031
case1,4,89004,1,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.2624914669188192,2.6728608046125117,28.350000000000268
case1,4,89004,2,3,2,2,1,1,1,0.0,0.0,0.3342911152920026,2.328277931082985,33.35000000000024
case1,4,89004,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.2666701348464795,1.6930044096832928,30.200000000000294
case1,4,89004,4,2,2,2,1,1,1,0.0,0.0,0.3547231688643729,2.361952304002605,26.750000000000245
case1,4,89004,5,2,1,1,1,1,1,0.0,0.0,0.26670427952246156,2.0283166443786143,34.45000000000018
case1,4,89004,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.15005752110831166,1.5707358077083355,29.25000000000028
case1,4,89004,7,2,2,2,1,1,1,0.0,0.0,0.22341722408552928,0.6412082894535645,28.50000000000027
case1,5,89005,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.34076141864487813,1.224212388098555,31.35000000000031
case1,5,89005,1,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.4206599102925395,1.9759245331174284,28.350000000000268
case1,5,89005,2,3,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.19461151789277392,1.6273849747768652,35.00000000000015
case1,5,89005,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.38824075526689494,1.1774097062169353,30.200000000000294
case1,5,89005,4,2,2,2,1,1,1,0.0,0.0,0.2698183994207226,2.03944383888661,26.750000000000245
case1,5,89005,5,2,2,2,1,1,1,0.0,0.0,0.3139197727838236,1.4562074656691268,33.10000000000026
case1,5,89005,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4344369895897535,2.148497755281741,29.25000000000028
case1,5,89005,7,2,1,1,1,1,1,0.0,0.0,0.47842250139971987,2.0587517964621256,29.85000000000029
case1,6,89006,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.0756509952616261,1.7145720996035099,31.35000000000031
case1,6,89006,1,3,2,1,1,0,0,0.0,0.0,0.8469436499760439,2.8708980679736302,29.600000000000286
case1,6,89006,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.24982427474796107,1.661873604056167,33.10000000000026
case1,6,89006,3,3,2,2,1,1,1,0.0,0.0,0.5051471831639678,0.7600376490021465,30.350000000000296
case1,6,89006,4,2,2,2,1,1,1,0.0,0.0,0.4757644082472393,2.423864712161604,26.750000000000245
case1,6,89006,5,2,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.41108760959616375,2.639165072812779,33.10000000000026
case1,6,89006,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.21634767129247257,1.3948676298243075,29.25000000000028
case1,6,89006,7,2,2,2,1,1,1,0.0,0.0,0.39176737022891817,0.7786069207649421,28.50000000000027
case1,7,89007,0,3,1,1,1,1,1,0.0,0.0,0.0911379523736715,1.9270113212275841,32.800000000000274
case1,7,89007,1,3,3,3,1,1,1,0.0,0.0,0.10508698452368608,1.5096771211113653,28.350000000000268
case1,7,89007,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.2760918994028884,1.292438253920342,33.10000000000026
case1,7,89007,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.1786813926141978,1.44336375587247,30.200000000000294
case1,7,89007,4,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.236929978275037,2.3598055760474335,26.800000000000246
case1,7,89007,5,2,2,2,1,1,1,0.0,0.0,0.2138998764801746,2.409361648017324,33.10000000000026
case1,7,89007,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2973396645896298,1.6964452728216404,29.25000000000028
case1,7,89007,7,2,2,2,1,1,1,0.0,0.0,0.26404379762590313,1.0368665771754935,28.50000000000027
case1,8,89008,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.3040528003399142,1.420537936278916,31.35000000000031
case1,8,89008,1,3,2,2,1,1,1,0.0,0.0,0.4612952430461445,1.8796488219113883,28.650000000000272
case1,8,89008,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.2193309752509287,1.845379246998706,33.10000000000026
case1,8,89008,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.4200835943769121,1.676493404934477,30.200000000000294
case1,8,89008,4,2,1,1,1,1,1,0.0,0.0,0.2896324677367781,1.0691814543497782,34.25000000000019
case1,8,89008,5,2,2,2,1,1,1,0.0,0.0,0.21474278906918787,2.243431286488064,33.10000000000026
case1,8,89008,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.06028696080953784,1.2840585240694757,29.25000000000028
case1,8,89008,7,2,2,2,1,1,1,0.0,0.0,0.31938702130023655,0.8358646971593257,28.50000000000027
case1,9,89009,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.2798293169410288,1.5390338805756596,31.35000000000031
case1,9,89009,1,3,2,2,1,1,1,0.0,0.0,0.06418171841800308,1.0749165058960952,28.650000000000272
case1,9,89009,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.09444609864444416,1.4442075751717063,33.10000000000026
case1,9,89009,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.26160824005897765,1.3471208069158467,30.200000000000294
case1,9,89009,4,2,2,2,1,1,1,0.0,0.0,0.33335429179372095,2.1314987965673056,26.750000000000245
case1,9,89009,5,2,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.09495114089147333,2.027309111832199,33.10000000000026
case1,9,89009,6,2,1,1,1,1,1,0.0,0.0,0.25315617724067935,1.6547311650147414,30.050000000000292
case1,9,89009,7,2,2,2,1,1,1,0.0,0.0,0.41808093376846833,1.3501861375179112,28.50000000000027
case1,10,89010,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.1439735337996371,1.3931078072712006,31.35000000000031
case1,10,89010,1,3,3,3,1,1,1,0.0,0.0,0.22802517797261737,1.7695861614618191,28.350000000000268
case1,10,89010,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.2878871637747357,1.492744268525512,33.10000000000026
case1,10,89010,3,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2584694171113307,1.5010783926771054,30.450000000000298
case1,10,89010,4,2,2,2,1,1,1,0.0,0.0,0.30646408652049884,2.298950406320831,26.750000000000245
case1,10,89010,5,2,2,2,1,1,1,0.0,0.0,0.22086678337900628,1.1916834392192097,33.10000000000026
case1,10,89010,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.054160237883616916,1.5011208617393685,29.25000000000028
case1,10,89010,7,2,1,1,1,1,1,0.0,0.0,0.6352208572108214,0.7761760985728461,29.350000000000282
case1,11,89011,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.3646334756072785,1.7323580942301093,31.35000000000031
case1,11,89011,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.34343173867853777,2.3332238186440595,28.750000000000274
case1,11,89011,2,3,3,3,1,1,1,0.04999999999999716,0.02222222222222096,0.33313442447260155,1.6349424502895997,33.10000000000026
case1,11,89011,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.3421817292197684,1.3995371004038626,30.200000000000294
case1,11,89011,4,2,1,1,1,1,1,0.0,0.0,0.08785939531068043,2.7483587512439724,27.70000000000026
case1,11,89011,5,2,2,2,1,1,1,0.0,0.0,0.24070205494424768,0.9848319555527165,33.10000000000026
case1,11,89011,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.09647001250570561,1.7640000957592752,29.25000000000028
case1,11,89011,7,2,2,2,1,1,1,0.0,0.0,0.26555495318892625,1.208741426514493,28.50000000000027
case1,12,89012,0,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.1720261042871257,1.1820163692397623,31.35000000000031
case1,12,89012,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2234301125982992,1.9660763843336375,28.750000000000274
case1,12,89012,2,3,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.3274028136854253,1.6442424070679187,35.00000000000015
case1,12,89012,3,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.22650132171713575,1.780267347918364,30.200000000000294
case1,12,89012,4,2,2,2,1,1,1,0.0,0.0,0.40424995377925854,2.1934860422157216,26.750000000000245
case1,12,89012,5,2,2,2,1,1,1,0.0,0.0,0.4557706260495318,0.7452199642525752,33.10000000000026
case1,12,89012,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.10301653056315752,1.372476448245743,29.25000000000028
case1,12,89012,7,2,2,2,1,1,1,0.0,0.0,0.34225740188071807,0.878548166862976,28.50000000000027
