rank,recommended,seed,max_group_spread_s,E_co_time_s,E_miss_m,E_n_g,E_t_s,ranking_rule
1,True,74001,0.05000000000000426,0.014236111111110747,1.3448783218058087,0.6659978352662635,36.00625,"max spread, then E_co-time, E_miss, E_n (ascending; ties at 1e-10)"
2,False,74002,0.10000000000000142,0.017013888888889845,1.2132405687561745,0.8648322262048753,36.16250000000001,"max spread, then E_co-time, E_miss, E_n (ascending; ties at 1e-10)"
3,False,74005,0.09999999999999432,0.01875000000000012,1.6472846506109526,0.7106884940967282,35.849999999999994,"max spread, then E_co-time, E_miss, E_n (ascending; ties at 1e-10)"
4,False,74009,0.10000000000000142,0.02222222222222229,1.3102933665665135,0.8091647438209091,35.7625,"max spread, then E_co-time, E_miss, E_n (ascending; ties at 1e-10)"
5,False,74003,0.29999999999999716,0.05034722222222203,1.246490094901101,0.8632890251294112,35.94375,"max spread, then E_co-time, E_miss, E_n (ascending; ties at 1e-10)"
