variant,variant_label,case,seed,episode,target_id,assigned_member_count,strict_all_8_groups_complete,arrival_time_mean_s,arrival_time_min_s,arrival_time_max_s,E_co_time_s,E_n_terminal_sample_g,E_miss_m,E_t_s
full,ART-MAPPO,case1,701,3,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.20688598963555305,2.1213263099282336,38.8
full,ART-MAPPO,case1,701,3,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.2673718813962848,2.131998660690281,34.1
full,ART-MAPPO,case1,701,3,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.22721266791570527,1.9783891292033111,32.2
full,ART-MAPPO,case1,701,3,25,2,1,38.75,38.75,38.75,0.0,0.2701612248954316,1.6499631520035436,38.75
full,ART-MAPPO,case1,701,3,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.16319381115408893,2.822267935388977,35.4
full,ART-MAPPO,case1,701,3,27,2,1,34.55,34.55,34.55,0.0,0.2970466920157724,2.471445299615249,34.55
full,ART-MAPPO,case1,701,4,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.2630250828337249,0.8177765494383503,35.15
full,ART-MAPPO,case1,701,4,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.3096568500322938,1.873835746195202,33.35
full,ART-MAPPO,case1,701,4,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.3732305355511471,2.2562270400901303,38.8
full,ART-MAPPO,case1,701,4,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.3036867305724735,2.175096265498683,34.1
full,ART-MAPPO,case1,701,4,24,2,1,32.2,32.2,32.2,0.0,0.4064545236918187,2.362903307845583,32.2
full,ART-MAPPO,case1,701,4,25,2,1,38.75,38.75,38.75,0.0,0.4061520474439434,2.4232684507241844,38.75
full,ART-MAPPO,case1,701,4,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.18737040810778835,2.255581230087153,35.4
full,ART-MAPPO,case1,701,4,27,2,1,34.55,34.55,34.55,0.0,0.3031709327222467,2.1069485811161326,34.55
full,ART-MAPPO,case1,701,5,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.29579197553722364,1.306989879445018,35.15
full,ART-MAPPO,case1,701,5,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.27127427801098497,1.8263619560118538,33.35
full,ART-MAPPO,case1,701,5,22,3,1,38.78333333333333,38.75,38.8,0.02222222222222096,0.26824826102453514,2.1273962643384428,38.8
full,ART-MAPPO,case1,701,5,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.2161433195277421,2.015635152196234,34.1
full,ART-MAPPO,case1,701,5,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.1847160557130964,2.0880953232540373,32.2
full,ART-MAPPO,case1,701,5,25,2,1,38.75,38.75,38.75,0.0,0.22373111879158927,1.8998709627650907,38.75
full,ART-MAPPO,case1,701,5,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.4273694851521706,1.9958385996475165,35.4
full,ART-MAPPO,case1,701,5,27,2,1,34.55,34.55,34.55,0.0,0.22148366373285117,1.6973051940970652,34.55
full,ART-MAPPO,case1,701,6,20,3,1,35.1,35.1,35.1,0.0,0.37999880782525897,1.7382804889911394,35.1
full,ART-MAPPO,case1,701,6,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.22940537487425675,2.0894314246656154,33.35
full,ART-MAPPO,case1,701,6,22,3,1,38.8,38.8,38.8,0.0,0.309579207651603,1.5210790205980504,38.8
full,ART-MAPPO,case1,701,6,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.19732041790502455,1.9962624541462883,34.1
full,ART-MAPPO,case1,701,6,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.13773520022741498,2.608022220678338,32.2
full,ART-MAPPO,case1,701,6,25,2,1,38.75,38.75,38.75,0.0,0.29527012308079525,1.4286634791198627,38.75
full,ART-MAPPO,case1,701,6,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.48624940512980375,2.026793433393194,35.4
full,ART-MAPPO,case1,701,6,27,2,1,34.55,34.55,34.55,0.0,0.4434533611194798,2.3381876735201743,34.55
full,ART-MAPPO,case1,701,7,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.2305386506965751,1.193151203535959,35.15
full,ART-MAPPO,case1,701,7,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.2965045332302585,1.1515139768210811,33.35
full,ART-MAPPO,case1,701,7,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.3472756246980908,2.2204221127181225,38.8
full,ART-MAPPO,case1,701,7,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.3132475669131867,2.0607406333950338,34.1
full,ART-MAPPO,case1,701,7,24,2,1,32.2,32.2,32.2,0.0,0.3502159817518967,2.462922027895276,32.2
full,ART-MAPPO,case1,701,7,25,2,1,38.75,38.75,38.75,0.0,0.21711018852641828,0.6458085976241863,38.75
full,ART-MAPPO,case1,701,7,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.310194102822884,1.8119350869178001,35.4
full,ART-MAPPO,case1,701,7,27,2,1,34.55,34.55,34.55,0.0,0.30629708999687866,2.380741394513402,34.55
full,ART-MAPPO,case1,701,8,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.1792915307884939,0.977331836630472,35.15
full,ART-MAPPO,case1,701,8,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.24490003115399314,1.3315526749572661,33.35
full,ART-MAPPO,case1,701,8,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.2753531459066142,1.9522896145366673,38.8
full,ART-MAPPO,case1,701,8,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.24986674979416504,1.9262527433902663,34.1
full,ART-MAPPO,case1,701,8,24,2,1,32.2,32.2,32.2,0.0,0.2406737380248687,1.6707395163998844,32.2
full,ART-MAPPO,case1,701,8,25,2,1,38.75,38.75,38.75,0.0,0.23726583297171722,1.7320142998426296,38.75
full,ART-MAPPO,case1,701,8,26,2,1,35.4,35.4,35.4,0.0,0.3591682476502355,1.679327756053155,35.4
full,ART-MAPPO,case1,701,8,27,2,1,34.55,34.55,34.55,0.0,0.38296764696109525,2.3999791915533955,34.55
full,ART-MAPPO,case1,701,9,20,3,1,35.1,35.1,35.1,0.0,0.190009268582513,1.4838949779069015,35.1
full,ART-MAPPO,case1,701,9,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.2566003488274314,1.6396081666346587,33.35
full,ART-MAPPO,case1,701,9,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.4222197584349728,2.413825971900454,38.8
full,ART-MAPPO,case1,701,9,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.24698728908283782,2.1271092082300656,34.1
full,ART-MAPPO,case1,701,9,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.2835475872808004,1.7489980859775371,32.2
full,ART-MAPPO,case1,701,9,25,2,1,38.75,38.75,38.75,0.0,0.2127489904268647,1.715243902668767,38.75
full,ART-MAPPO,case1,701,9,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.2683791308074517,2.3318623052952807,35.4
full,ART-MAPPO,case1,701,9,27,2,1,34.55,34.55,34.55,0.0,0.28375130943815885,2.483702794046225,34.55
full,ART-MAPPO,case1,701,10,20,3,1,35.1,35.1,35.1,0.0,0.2553560507179358,2.2361655278204786,35.1
full,ART-MAPPO,case1,701,10,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.21584285739907552,1.3155132389896547,33.35
full,ART-MAPPO,case1,701,10,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.2384533114652556,2.3651031975130428,38.8
full,ART-MAPPO,case1,701,10,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.3388113416033944,1.884985292531029,34.1
full,ART-MAPPO,case1,701,10,24,2,1,32.2,32.2,32.2,0.0,0.33467263017488236,1.4277029543474835,32.2
full,ART-MAPPO,case1,701,10,25,2,1,38.75,38.75,38.75,0.0,0.3654388811924314,2.7754162453376416,38.75
full,ART-MAPPO,case1,701,10,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.36291175539468234,2.08964767554309,35.4
full,ART-MAPPO,case1,701,10,27,2,1,34.55,34.55,34.55,0.0,0.32222977848335294,2.0511278420510637,34.55
full,ART-MAPPO,case1,701,11,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.3486760564074058,1.030300550712309,35.15
full,ART-MAPPO,case1,701,11,21,3,1,33.3,33.3,33.3,0.0,0.3113063167868066,2.5241814783707768,33.3
full,ART-MAPPO,case1,701,11,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.13242728494685682,2.230451954993431,38.8
full,ART-MAPPO,case1,701,11,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.4810080021216523,1.609677942985151,34.1
full,ART-MAPPO,case1,701,11,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.4654134675396566,2.4517052966438317,32.2
full,ART-MAPPO,case1,701,11,25,2,1,38.75,38.75,38.75,0.0,0.16197453981536827,1.7670833528636027,38.75
full,ART-MAPPO,case1,701,11,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.28277030927284635,2.1159374007621334,35.4
full,ART-MAPPO,case1,701,11,27,2,1,34.55,34.55,34.55,0.0,0.2569408447809617,2.5682238828458304,34.55
full,ART-MAPPO,case1,701,12,20,3,0,35.1,35.1,35.1,0.0,0.33566670949403415,1.9036237412510733,35.1
full,ART-MAPPO,case1,701,12,21,3,0,33.3,33.3,33.3,0.0,0.24725768461380485,2.0852544127453694,33.3
full,ART-MAPPO,case1,701,12,23,3,0,34.06666666666666,34.05,34.1,0.022222222222223326,0.3315068079745708,2.0943663122416427,34.1
full,ART-MAPPO,case1,701,12,24,2,0,32.2,32.2,32.2,0.0,0.2602919385817317,1.9120747232459918,32.2
full,ART-MAPPO,case1,701,12,25,2,0,38.75,38.75,38.75,0.0,0.3389652365997034,1.421583463930649,38.75
full,ART-MAPPO,case1,701,12,26,2,0,35.375,35.35,35.4,0.02499999999999858,0.35377620085757444,2.31991189938272,35.4
full,ART-MAPPO,case1,701,12,27,2,0,34.55,34.55,34.55,0.0,0.3100995089733195,2.0904014465838756,34.55
full,ART-MAPPO,case1,701,13,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.2630419446175933,1.1356795681247043,35.15
full,ART-MAPPO,case1,701,13,21,3,1,33.333333333333336,33.3,33.35,0.022222222222223326,0.26313779137629795,1.9585936195409257,33.35
full,ART-MAPPO,case1,701,13,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.23349622737642153,2.141607584521982,38.8
full,ART-MAPPO,case1,701,13,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.24587918748773196,2.1064657463188885,34.1
full,ART-MAPPO,case1,701,13,24,2,1,32.2,32.2,32.2,0.0,0.36963134633187233,1.9546457915494235,32.2
full,ART-MAPPO,case1,701,13,25,2,1,38.775,38.75,38.8,0.02499999999999858,0.3807483788112456,1.8796871647016684,38.8
full,ART-MAPPO,case1,701,13,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.48896606261554554,2.299518984384631,35.4
full,ART-MAPPO,case1,701,13,27,2,1,34.55,34.55,34.55,0.0,0.2694116164174288,2.196795313718456,34.55
full,ART-MAPPO,case1,701,14,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.285277898725295,1.3243927412767214,35.15
full,ART-MAPPO,case1,701,14,21,3,1,33.3,33.3,33.3,0.0,0.26125740576431516,2.83592772342582,33.3
full,ART-MAPPO,case1,701,14,22,3,1,38.78333333333333,38.75,38.8,0.02222222222222096,0.40924309039278883,2.2468812657296797,38.8
full,ART-MAPPO,case1,701,14,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.4041258536414934,1.9646644983168222,34.1
full,ART-MAPPO,case1,701,14,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.7017221034748813,2.252921567052729,32.2
full,ART-MAPPO,case1,701,14,25,2,1,38.75,38.75,38.75,0.0,0.10753379696860028,1.988173865233228,38.75
full,ART-MAPPO,case1,701,14,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.3072799666140733,1.9604852572635127,35.4
full,ART-MAPPO,case1,701,14,27,2,1,34.575,34.55,34.6,0.02500000000000213,0.35726645543807767,1.7570193074988576,34.6
full,ART-MAPPO,case1,701,15,20,3,1,35.083333333333336,35.05,35.1,0.022222222222223326,0.27566521855146636,2.205780132792317,35.1
full,ART-MAPPO,case1,701,15,21,3,1,33.3,33.3,33.3,0.0,0.2834621731373069,1.8124741907145558,33.3
full,ART-MAPPO,case1,701,15,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.3268051758680313,2.13473211020551,38.8
full,ART-MAPPO,case1,701,15,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.22166930255063622,1.8835151351560475,34.1
full,ART-MAPPO,case1,701,15,24,2,1,32.15,32.15,32.15,0.0,0.2274061099326247,2.2059708980398325,32.15
full,ART-MAPPO,case1,701,15,25,2,1,38.75,38.75,38.75,0.0,0.30856062497966796,1.7814725137845886,38.75
full,ART-MAPPO,case1,701,15,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.4629711616321921,2.234235384393463,35.4
full,ART-MAPPO,case1,701,15,27,2,1,34.55,34.55,34.55,0.0,0.34122730589847106,2.8656769492106715,34.55
full,ART-MAPPO,case1,701,16,20,3,1,35.1,35.1,35.1,0.0,0.18643106015199704,1.7192584832679731,35.1
full,ART-MAPPO,case1,701,16,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.4409338471615847,1.4366124600531716,33.35
full,ART-MAPPO,case1,701,16,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.3568497485321515,2.279621160131903,38.8
full,ART-MAPPO,case1,701,16,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.16062486547276716,2.141164013333737,34.1
full,ART-MAPPO,case1,701,16,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.5442452674440567,2.814262967328572,32.2
full,ART-MAPPO,case1,701,16,25,2,1,38.75,38.75,38.75,0.0,0.3323583032428062,2.1098238436122556,38.75
full,ART-MAPPO,case1,701,16,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.21707203251116397,1.7572385402480444,35.4
full,ART-MAPPO,case1,701,16,27,2,1,34.55,34.55,34.55,0.0,0.351162634864412,2.6046169783171598,34.55
full,ART-MAPPO,case1,701,17,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.3525414572102525,1.0158200989605073,35.15
full,ART-MAPPO,case1,701,17,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.3221790320319963,1.2566047402182998,33.35
full,ART-MAPPO,case1,701,17,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.18812117713847987,2.1025483910556875,38.8
full,ART-MAPPO,case1,701,17,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.3370367462901053,1.8835081571027465,34.1
full,ART-MAPPO,case1,701,17,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.24880494740587933,2.206409896015516,32.2
full,ART-MAPPO,case1,701,17,25,2,1,38.75,38.75,38.75,0.0,0.24989110918780189,1.4897857712922788,38.75
full,ART-MAPPO,case1,701,17,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.2067047085616121,2.100893776607971,35.4
full,ART-MAPPO,case1,701,17,27,2,1,34.55,34.55,34.55,0.0,0.46018021335415826,2.179438044908591,34.55
full,ART-MAPPO,case1,701,18,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.2681094754680577,0.9677716471813401,35.15
full,ART-MAPPO,case1,701,18,21,3,1,33.3,33.3,33.3,0.0,0.29941569768662885,2.5900149817646834,33.3
full,ART-MAPPO,case1,701,18,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.27396872595314276,2.3425382017903793,38.8
full,ART-MAPPO,case1,701,18,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.19286378444514427,2.109409477317147,34.1
full,ART-MAPPO,case1,701,18,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.5260356698182642,1.8632198272907132,32.2
full,ART-MAPPO,case1,701,18,25,2,1,38.75,38.75,38.75,0.0,0.31032062752652556,2.114746660565038,38.75
full,ART-MAPPO,case1,701,18,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.43350711587597446,2.1750703745165847,35.4
full,ART-MAPPO,case1,701,18,27,2,1,34.55,34.55,34.55,0.0,0.19773339970932335,2.309760439476677,34.55
full,ART-MAPPO,case1,701,19,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.31808223937102653,1.114946786763463,35.15
full,ART-MAPPO,case1,701,19,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.3294020726831241,1.29798684280337,33.35
full,ART-MAPPO,case1,701,19,22,3,1,38.78333333333333,38.75,38.8,0.02222222222222096,0.1723156386130972,1.9687006471171156,38.8
full,ART-MAPPO,case1,701,19,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.2817745134453223,1.983805739044394,34.1
full,ART-MAPPO,case1,701,19,24,2,1,32.15,32.15,32.15,0.0,0.21168080222537394,2.913410074760756,32.15
full,ART-MAPPO,case1,701,19,25,2,1,38.75,38.75,38.75,0.0,0.14752728494732975,1.5134085441229383,38.75
full,ART-MAPPO,case1,701,19,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.2321899590302159,2.3603663302048714,35.4
full,ART-MAPPO,case1,701,19,27,2,1,34.55,34.55,34.55,0.0,0.22798850025063483,2.1741006235089118,34.55
full,ART-MAPPO,case1,701,20,20,3,1,35.083333333333336,35.05,35.1,0.022222222222223326,0.24233093759154434,2.0825669227731383,35.1
full,ART-MAPPO,case1,701,20,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.21894397954886094,1.4810017585898352,33.35
full,ART-MAPPO,case1,701,20,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.2802593815175806,1.9400597191874314,38.8
full,ART-MAPPO,case1,701,20,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.42544070714577703,2.003439168592991,34.1
full,ART-MAPPO,case1,701,20,24,2,1,32.15,32.15,32.15,0.0,0.34170316419122915,2.5777940773811894,32.15
full,ART-MAPPO,case1,701,20,25,2,1,38.75,38.75,38.75,0.0,0.34082807511793733,1.1397222967222844,38.75
full,ART-MAPPO,case1,701,20,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.24635382437134276,2.434810259420124,35.4
full,ART-MAPPO,case1,701,20,27,2,1,34.55,34.55,34.55,0.0,0.15220598233982255,2.752046453155895,34.55
full,ART-MAPPO,case1,702,1,20,3,0,35.06666666666666,35.05,35.1,0.022222222222223326,0.2980836403317461,0.7684739822101864,35.1
full,ART-MAPPO,case1,702,1,21,3,0,33.166666666666664,33.15,33.2,0.022222222222223326,0.32480547554602124,1.9629242446479813,33.2
full,ART-MAPPO,case1,702,1,22,3,0,38.75,38.75,38.75,0.0,0.34047812774544967,2.1096830867978533,38.75
full,ART-MAPPO,case1,702,1,23,3,0,34.016666666666666,34.0,34.05,0.02222222222222096,0.2433289724881946,1.1344953339121975,34.05
full,ART-MAPPO,case1,702,1,25,2,0,39.075,39.05,39.1,0.02500000000000213,0.2827497730371741,2.377999025611789,39.1
full,ART-MAPPO,case1,702,1,26,2,0,35.525,35.5,35.55,0.02499999999999858,0.15793430630511981,0.6729424938932707,35.55
full,ART-MAPPO,case1,702,1,27,2,0,34.4,34.4,34.4,0.0,0.3099413775295651,2.4755807104907213,34.4
full,ART-MAPPO,case1,702,2,20,3,1,35.03333333333333,35.0,35.05,0.02222222222222096,0.22268734055171593,2.378382337119986,35.05
full,ART-MAPPO,case1,702,2,21,3,1,33.15,33.15,33.15,0.0,0.29201935480255065,1.6417028558464961,33.15
full,ART-MAPPO,case1,702,2,22,3,1,38.75,38.75,38.75,0.0,0.19567677940637015,1.9273296090367296,38.75
full,ART-MAPPO,case1,702,2,23,3,1,34.016666666666666,34.0,34.05,0.02222222222222096,0.21957744197174575,1.2840872322390215,34.05
full,ART-MAPPO,case1,702,2,24,2,1,32.125,32.1,32.15,0.02499999999999858,0.23184604353569804,1.950478384112956,32.15
full,ART-MAPPO,case1,702,2,25,2,1,39.1,39.1,39.1,0.0,0.32341056411948255,0.9310775902633335,39.1
full,ART-MAPPO,case1,702,2,26,2,1,35.525,35.5,35.55,0.02499999999999858,0.28644757532359155,1.4539902858353306,35.55
full,ART-MAPPO,case1,702,2,27,2,1,34.4,34.4,34.4,0.0,0.3418466914377434,2.147135590542529,34.4
full,ART-MAPPO,case1,702,3,20,3,1,35.03333333333333,35.0,35.05,0.02222222222222096,0.26131398231475217,1.780816999200067,35.05
full,ART-MAPPO,case1,702,3,21,3,1,33.166666666666664,33.15,33.2,0.022222222222223326,0.3225344154088774,1.7759585783838931,33.2
full,ART-MAPPO,case1,702,3,22,3,1,38.75,38.75,38.75,0.0,0.34302860441717126,2.050176225815283,38.75
full,ART-MAPPO,case1,702,3,23,3,1,34.016666666666666,34.0,34.05,0.02222222222222096,0.2718915792687461,1.6106031515256392,34.05
full,ART-MAPPO,case1,702,3,24,2,1,32.15,32.15,32.15,0.0,0.3465486062213218,2.029745082431572,32.15
full,ART-MAPPO,case1,702,3,25,2,1,39.1,39.1,39.1,0.0,0.4681680428410536,1.2075673999452663,39.1
full,ART-MAPPO,case1,702,3,26,2,1,35.525,35.5,35.55,0.02499999999999858,0.18783933265149372,1.5990681801550257,35.55
full,ART-MAPPO,case1,702,3,27,2,1,34.4,34.4,34.4,0.0,0.2885930252643196,2.0351485591714247,34.4
full,ART-MAPPO,case1,702,4,20,3,1,35.050000000000004,35.0,35.1,0.03333333333333618,0.23482794591115289,2.0072353690376974,35.1
full,ART-MAPPO,case1,702,4,21,3,1,33.166666666666664,33.15,33.2,0.022222222222223326,0.3006325396635887,1.7423149043202681,33.2
full,ART-MAPPO,case1,702,4,22,3,1,38.75,38.75,38.75,0.0,0.24922636223330608,2.279435149027286,38.75
full,ART-MAPPO,case1,702,4,23,3,1,34.016666666666666,34.0,34.05,0.02222222222222096,0.2461715959865249,1.5279390818573768,34.05
full,ART-MAPPO,case1,702,4,24,2,1,32.15,32.15,32.15,0.0,0.18556489806670096,1.1935668755545659,32.15
full,ART-MAPPO,case1,702,4,25,2,1,39.1,39.1,39.1,0.0,0.29113171052922904,1.4824840801715777,39.1
full,ART-MAPPO,case1,702,4,26,2,1,35.5,35.5,35.5,0.0,0.39498837781466534,2.038300497836642,35.5
full,ART-MAPPO,case1,702,4,27,2,1,34.4,34.4,34.4,0.0,0.20787250752417938,1.6091182855477677,34.4
full,ART-MAPPO,case1,702,5,20,3,1,35.03333333333333,35.0,35.05,0.02222222222222096,0.3123559258697353,1.8046165196375092,35.05
full,ART-MAPPO,case1,702,5,21,3,1,33.166666666666664,33.15,33.2,0.022222222222223326,0.261531970482132,1.7442385789550492,33.2
full,ART-MAPPO,case1,702,5,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.28992777595726965,1.6003877151512513,38.8
full,ART-MAPPO,case1,702,5,23,3,1,34.016666666666666,34.0,34.05,0.02222222222222096,0.19227340803269719,1.1001981179480078,34.05
full,ART-MAPPO,case1,702,5,24,2,1,32.15,32.15,32.15,0.0,0.17236641950208778,1.4604160349664668,32.15
full,ART-MAPPO,case1,702,5,25,2,1,39.1,39.1,39.1,0.0,0.20836132662693674,0.684136621437361,39.1
full,ART-MAPPO,case1,702,5,26,2,1,35.525,35.5,35.55,0.02499999999999858,0.32889641410494636,0.6213243225593212,35.55
full,ART-MAPPO,case1,702,5,27,2,1,34.4,34.4,34.4,0.0,0.3429210941540157,2.1962794629214835,34.4
full,ART-MAPPO,case1,702,6,20,3,1,35.05,35.05,35.05,0.0,0.22211937868809936,1.8052140339048772,35.05
full,ART-MAPPO,case1,702,6,21,3,1,33.15,33.15,33.15,0.0,0.26780704538689665,1.4514133239535016,33.15
full,ART-MAPPO,case1,702,6,22,3,1,38.75,38.75,38.75,0.0,0.3355560154770014,1.6507677957576126,38.75
full,ART-MAPPO,case1,702,6,23,3,1,34.016666666666666,34.0,34.05,0.02222222222222096,0.33300048262776666,1.4650700798499514,34.05
full,ART-MAPPO,case1,702,6,24,2,1,32.15,32.15,32.15,0.0,0.33602288175348405,2.2072539025252835,32.15
full,ART-MAPPO,case1,702,6,25,2,1,39.075,39.05,39.1,0.02500000000000213,0.2560932961962259,1.6336633953919881,39.1
full,ART-MAPPO,case1,702,6,26,2,1,35.525,35.5,35.55,0.02499999999999858,0.27856240648397346,0.38892312952206054,35.55
full,ART-MAPPO,case1,702,6,27,2,1,34.4,34.4,34.4,0.0,0.348744609888999,1.7770877477129468,34.4
full,ART-MAPPO,case1,702,7,20,3,1,35.05,35.05,35.05,0.0,0.16955068678605156,1.6594420310501423,35.05
full,ART-MAPPO,case1,702,7,21,3,1,33.166666666666664,33.15,33.2,0.022222222222223326,0.26400725817079157,1.0944767720542088,33.2
full,ART-MAPPO,case1,702,7,22,3,1,38.75,38.75,38.75,0.0,0.24627444239412355,1.946215785990515,38.75
