variant,variant_label,case,seed,episode,target_id,assigned_member_count,strict_all_8_groups_complete,arrival_time_mean_s,arrival_time_min_s,arrival_time_max_s,E_co_time_s,E_n_terminal_sample_g,E_miss_m,E_t_s
full,ART-MAPPO,case1,701,1,20,3,1,35.083333333333336,35.05,35.1,0.022222222222223326,0.35659023962989006,2.363739177162353,35.1
full,ART-MAPPO,case1,701,1,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.42849679613684605,1.776530884441347,33.35
full,ART-MAPPO,case1,701,1,22,3,1,38.766666666666666,38.75,38.8,0.02222222222222096,0.1989348358720878,2.0879591321382085,38.8
full,ART-MAPPO,case1,701,1,23,3,1,34.06666666666666,34.05,34.1,0.022222222222223326,0.3308356979872183,1.8357056132673373,34.1
full,ART-MAPPO,case1,701,1,24,2,1,32.175,32.15,32.2,0.02500000000000213,0.41679650842733246,2.0907282130938825,32.2
full,ART-MAPPO,case1,701,1,25,2,1,38.75,38.75,38.75,0.0,0.4005184058982241,1.61107357395939,38.75
full,ART-MAPPO,case1,701,1,26,2,1,35.375,35.35,35.4,0.02499999999999858,0.2743309589161684,2.04186759554159,35.4
full,ART-MAPPO,case1,701,1,27,2,1,34.55,34.55,34.55,0.0,0.2379913923759704,1.9101947730012818,34.55
full,ART-MAPPO,case1,701,2,20,3,0,35.11666666666667,35.1,35.15,0.02222222222222096,0.28264269875102704,0.7924960992219704,35.15
full,ART-MAPPO,case1,701,2,21,3,0,33.31666666666666,33.3,33.35,0.022222222222223326,0.27748691617505034,2.4289972331118688,33.35
full,ART-MAPPO,case1,701,2,22,3,0,38.78333333333333,38.75,38.8,0.02222222222222096,0.31799270875041535,1.832680468143078,38.8
full,ART-MAPPO,case1,701,2,23,3,0,34.06666666666666,34.05,34.1,0.022222222222223326,0.2458171747149208,1.9800902975783348,34.1
full,ART-MAPPO,case1,701,2,25,2,0,38.75,38.75,38.75,0.0,0.2070544631115827,1.4379091918044986,38.75
full,ART-MAPPO,case1,701,2,26,2,0,35.375,35.35,35.4,0.02499999999999858,0.21595664062968373,2.1506660814557685,35.4
full,ART-MAPPO,case1,701,2,27,2,0,34.55,34.55,34.55,0.0,0.40442449619671905,2.639628588909435,34.55
full,ART-MAPPO,case1,701,3,20,3,1,35.11666666666667,35.1,35.15,0.02222222222222096,0.2519982568777881,1.0562924039582218,35.15
full,ART-MAPPO,case1,701,3,21,3,1,33.31666666666666,33.3,33.35,0.022222222222223326,0.21785172925919757,1.3259662197887678,33.35
