case,variant,variant_label,analysis_stratum,metric,N_episodes,mean,std,median,q1,q3,mean_ci95_low,mean_ci95_high
case1,full,ART-MAPPO,strict_all_8_groups_complete,E_co_time_s,90,0.01331404320987618,0.0026485430986383602,0.01302083333333326,0.011458333333332682,0.014583333333333098,0.012777777777777402,0.013865740740740406
case1,full,ART-MAPPO,strict_all_8_groups_complete,E_n_terminal_sample_g,90,0.298649788919935,0.031303110310076196,0.30021520094868315,0.27481385768484634,0.3177708761749371,0.29212993124841125,0.30502542647198827
case1,full,ART-MAPPO,strict_all_8_groups_complete,E_miss_m,90,1.76885369696926,0.17805536299072444,1.7379768297983778,1.6625023848050453,1.908447124577318,1.7328625455025404,1.8054376143144213
case1,full,ART-MAPPO,strict_all_8_groups_complete,E_t_s,90,35.268819444444446,0.053907158899228994,35.278125,35.26875,35.287499999999994,35.25763888888889,35.27993055555555
case1,full,ART-MAPPO,complete_group_conditioned_episode,E_co_time_s,100,0.013146660052909692,0.003076239767197717,0.012648809523809323,0.011458333333332682,0.014583333333333245,0.012536871693121373,0.013750057870369998
case1,full,ART-MAPPO,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.29839561047855034,0.030147655001044285,0.2988954020185457,0.2785553744682454,0.31699675998128635,0.2925651144360796,0.3042601276369918
case1,full,ART-MAPPO,complete_group_conditioned_episode,E_miss_m,100,1.7662882575987497,0.17726342693691827,1.7465994457456264,1.660314328882004,1.9042038086126578,1.7317684374056506,1.801307109565852
case1,full,ART-MAPPO,complete_group_conditioned_episode,E_t_s,100,35.264901785714294,0.15628778119808115,35.278125,35.26875,35.2890625,35.23401741071429,35.29491272321429
case1,no_trust,w/o Trust,strict_all_8_groups_complete,E_co_time_s,90,0.01332947530864174,0.0036568036324013675,0.011458333333333423,0.011458333333332979,0.014583333333333356,0.012592592592592407,0.014093460648147956
case1,no_trust,w/o Trust,strict_all_8_groups_complete,E_n_terminal_sample_g,90,0.2784430572472008,0.036255407247351594,0.2767638270251874,0.25766209602229584,0.2945214513315765,0.27101734591550314,0.2859637361879311
case1,no_trust,w/o Trust,strict_all_8_groups_complete,E_miss_m,90,1.737514932519405,0.1837919121926416,1.7352473203293266,1.6019516762252273,1.869851222908323,1.700224833849015,1.7767154956558584
case1,no_trust,w/o Trust,strict_all_8_groups_complete,E_t_s,90,35.63215277777778,1.140703278101703,35.4375,35.26875,36.612500000000004,35.39381770833334,35.862781250000005
case1,no_trust,w/o Trust,complete_group_conditioned_episode,E_co_time_s,100,0.013421130952380728,0.0035436396548429814,0.011805555555555475,0.011458333333332979,0.014583333333333282,0.012726674107142679,0.014121031746031472
case1,no_trust,w/o Trust,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.2780280239196113,0.036746306376775624,0.2767638270251874,0.25601124032255385,0.29738758604460347,0.27083912358615336,0.2852157844268697
case1,no_trust,w/o Trust,complete_group_conditioned_episode,E_miss_m,100,1.745785791523145,0.18216067441853703,1.7371284113445062,1.6075126735272869,1.8774538494596429,1.7099900622905027,1.7814909779344796
case1,no_trust,w/o Trust,complete_group_conditioned_episode,E_t_s,100,35.639008928571435,1.1064437822194557,35.4375,35.26875,36.60625,35.42404263392858,35.85177633928572
