case,analysis_stratum,comparison,metric,N_paired_episodes,mean_paired_difference,difference_ci95_low,difference_ci95_high,paired_effect_dz,wilcoxon_p
case1,strict_all_8_groups_complete,full_minus_no_trust,E_co_time_s,81,-0.0003986625514404694,-0.0014831961591222499,0.0006644375857337282,-0.0803809768935209,0.5790558324910331
case1,strict_all_8_groups_complete,full_minus_no_trust,E_n_terminal_sample_g,81,0.020404079799801578,0.010557500188367897,0.03039998906262444,0.4481754435837843,0.00037496236188999904
case1,strict_all_8_groups_complete,full_minus_no_trust,E_miss_m,81,0.009986449506277249,-0.03996938471765397,0.06013224168596541,0.042798902553933864,0.4669629321479245
case1,strict_all_8_groups_complete,full_minus_no_trust,E_t_s,81,-0.3886574074074085,-0.6338734567901246,-0.1439776234567912,-0.34101331334653756,0.000269276471319072
case1,strict_all_8_groups_complete,full_minus_no_gru,E_co_time_s,88,-0.0004379734848487632,-0.0012231691919193986,0.00032749368686837434,-0.11888917343268979,0.18369165848883784
case1,strict_all_8_groups_complete,full_minus_no_gru,E_n_terminal_sample_g,88,0.02712837773960591,0.01955549185326798,0.0346622889321776,0.7554334292427799,4.78954437361406e-09
case1,strict_all_8_groups_complete,full_minus_no_gru,E_miss_m,88,0.040187860907647414,-0.0060016941980503115,0.08781734555272648,0.17585231778137025,0.25773840428988504
case1,strict_all_8_groups_complete,full_minus_no_gru,E_t_s,88,-0.01576704545454718,-0.023366477272729197,-0.007812500000001695,-0.4181938011028507,0.00011475270032725074
case1,strict_all_8_groups_complete,full_minus_no_attention_residual,E_co_time_s,76,-0.00010051169590683984,-0.0009091739766086571,0.0007264254385960723,-0.02766800760050774,0.6505049159822394
case1,strict_all_8_groups_complete,full_minus_no_attention_residual,E_n_terminal_sample_g,76,-0.01759694517535792,-0.026224016531486767,-0.008978290774917049,-0.4502269511228502,0.0002899168566884208
case1,strict_all_8_groups_complete,full_minus_no_attention_residual,E_miss_m,76,0.06597168409765328,0.0024752791234158244,0.13164721394225748,0.22751907378223768,0.06917872323677184
case1,strict_all_8_groups_complete,full_minus_no_attention_residual,E_t_s,76,-0.180674342105266,-0.23034539473684493,-0.1311636513157927,-0.8079229874631134,1.0906311212426126e-09
case2,complete_group_conditioned_episode,full_minus_no_trust,E_co_time_s,82,0.583845980126468,0.20802611224028933,0.984790537488708,0.32619788928186644,0.4414669048147497
case2,complete_group_conditioned_episode,full_minus_no_trust,E_n_terminal_sample_g,82,0.03762056040042134,0.010312063580119265,0.06294637716244954,0.30557646429789287,0.0003680817387751385
case2,complete_group_conditioned_episode,full_minus_no_trust,E_miss_m,82,0.13333966096193237,0.0687561664198533,0.20062908994890868,0.43977061047142935,0.0006400797034606397
case2,complete_group_conditioned_episode,full_minus_no_trust,E_t_s,82,2.613810975609756,1.6442118902439027,3.5865724085365858,0.5784128805075011,2.128431061114401e-06
case2,complete_group_conditioned_episode,full_minus_no_gru,E_co_time_s,100,1.3741921296296296,0.997742939814815,1.7783177083333328,0.6820915832323274,3.680732637375014e-13
case2,complete_group_conditioned_episode,full_minus_no_gru,E_n_terminal_sample_g,100,0.03700290074206571,0.01982449483947092,0.05429840986958281,0.41975341242098363,0.00012446005056465921
case2,complete_group_conditioned_episode,full_minus_no_gru,E_miss_m,100,-0.10560899458923564,-0.14604697208466863,-0.06484432500274642,-0.5015102267413551,1.4819472203436094e-06
case2,complete_group_conditioned_episode,full_minus_no_gru,E_t_s,100,-3.509958333333334,-4.376262500000002,-2.6139395833333334,-0.7661424318979855,1.2926676253875335e-08
case2,complete_group_conditioned_episode,full_minus_no_attention_residual,E_co_time_s,99,-1.5306116722783394,-2.273938809390198,-0.8383620346988411,-0.41887120655307103,9.068811972624637e-07
case2,complete_group_conditioned_episode,full_minus_no_attention_residual,E_n_terminal_sample_g,99,-0.029070217022773296,-0.046492613072327944,-0.012252006884704746,-0.3274728090627927,0.0029420680639276123
case2,complete_group_conditioned_episode,full_minus_no_attention_residual,E_miss_m,99,-0.12509199172900345,-0.1638788935397581,-0.08769098586142,-0.648703039669937,1.7676511208722934e-08
case2,complete_group_conditioned_episode,full_minus_no_attention_residual,E_t_s,99,0.9820286195286201,-0.22910037878787742,2.2357070707070705,0.15707923668202192,0.20021533906518263
