variant,variant_label,case,seed,episode,hit_count,target_hit_count,target_sync_count,evaluator_all_hit,evaluator_all_sync,complete_group_count,has_complete_group,strict_all_8_groups_complete,E_co_time_s,E_n_terminal_sample_g,E_miss_m,E_t_s
full,ART-MAPPO,case1,701,1,20,8,8,True,True,8,1,1,0.017361111111111455,0.3305618544054672,1.9647248703256739,35.28125
full,ART-MAPPO,case1,701,2,19,8,7,True,False,7,1,0,0.01626984126984102,0.27876787118991414,1.8946382800321362,35.728571428571435
full,ART-MAPPO,case1,701,3,20,8,8,True,True,8,1,1,0.01736111111111116,0.2377152816437277,1.944706138822073,35.287499999999994
full,ART-MAPPO,case1,701,4,20,8,8,True,True,8,1,1,0.014236111111110894,0.31909338886942956,2.0339546463744274,35.287499999999994
full,ART-MAPPO,case1,701,5,20,8,8,True,True,8,1,1,0.01736111111111116,0.26359476968627416,1.8696866664694074,35.287499999999994
full,ART-MAPPO,case1,701,6,20,8,8,True,True,8,1,1,0.01180555555555592,0.30987648722670463,1.9683400243890827,35.28125
full,ART-MAPPO,case1,701,7,20,8,8,True,True,8,1,1,0.014236111111110894,0.2964229673295236,1.7409043791776075,35.287499999999994
full,ART-MAPPO,case1,701,8,20,8,8,True,True,8,1,1,0.011111111111111072,0.2711858654063979,1.708685954170467,35.287499999999994
full,ART-MAPPO,case1,701,9,20,8,8,True,True,8,1,1,0.01458333333333354,0.27053046036012884,1.9930306765824861,35.28125
full,ART-MAPPO,case1,701,10,20,8,8,True,True,8,1,1,0.011458333333333274,0.30421457580387634,2.0182077467666857,35.28125
full,ART-MAPPO,case1,701,11,20,8,8,True,True,8,1,1,0.014583333333333245,0.3050646027089443,2.037195232522133,35.28125
full,ART-MAPPO,case1,701,12,19,8,7,True,False,7,1,0,0.0067460317460317,0.311080583870677,1.9753165713401888,34.771428571428565
full,ART-MAPPO,case1,701,13,20,8,8,True,True,8,1,1,0.017361111111110716,0.31428906937926715,1.959124221607585,35.29375
full,ART-MAPPO,case1,701,14,20,8,8,True,True,8,1,1,0.017708333333333513,0.3542133213774406,2.041308278224671,35.287499999999994
full,ART-MAPPO,case1,701,15,20,8,8,True,True,8,1,1,0.011458333333333274,0.3059708840687996,2.140482164287123,35.26875
full,ART-MAPPO,case1,701,16,20,8,8,True,True,8,1,1,0.01458333333333354,0.32370971992261743,2.1078248057866023,35.28125
full,ART-MAPPO,case1,701,17,20,8,8,True,True,8,1,1,0.01736111111111116,0.2956824238975357,1.7793761095201996,35.287499999999994
full,ART-MAPPO,case1,701,18,20,8,8,True,True,8,1,1,0.014583333333333245,0.31274431206038267,2.05906645123782,35.28125
full,ART-MAPPO,case1,701,19,20,8,8,True,True,8,1,1,0.014236111111110894,0.24012012632076557,1.9158406985407277,35.28125
full,ART-MAPPO,case1,701,20,20,8,8,True,True,8,1,1,0.014236111111111189,0.28100825647801186,2.0514300819778613,35.275000000000006
full,ART-MAPPO,case1,702,1,19,8,7,True,False,7,1,0,0.016666666666666902,0.2796173818547529,1.6431569825091425,35.73571428571429
full,ART-MAPPO,case1,702,2,20,8,8,True,True,8,1,1,0.011805555555554886,0.2641889738936123,1.7142729856245478,35.275
full,ART-MAPPO,case1,702,3,20,8,8,True,True,8,1,1,0.011458333333332979,0.31123969854846695,1.7611355220785212,35.28125
full,ART-MAPPO,case1,702,4,20,8,8,True,True,8,1,1,0.009722222222222559,0.2638019922161684,1.7350492804191477,35.28125
full,ART-MAPPO,case1,702,5,20,8,8,True,True,8,1,1,0.014236111111110599,0.2635792918412276,1.4014496716970561,35.287499999999994
full,ART-MAPPO,case1,702,6,20,8,8,True,True,8,1,1,0.00902777777777771,0.2972382645628058,1.5474241760772778,35.275
full,ART-MAPPO,case1,702,7,20,8,8,True,True,8,1,1,0.008680555555555358,0.26386542270926955,1.5310378783599399,35.28125
full,ART-MAPPO,case1,702,8,20,8,8,True,True,8,1,1,0.017361111111110866,0.31345067259087755,1.430492419491126,35.287499999999994
full,ART-MAPPO,case1,702,9,20,8,8,True,True,8,1,1,0.014236111111110894,0.2994782437659991,1.3403667760871167,35.29375
full,ART-MAPPO,case1,702,10,20,8,8,True,True,8,1,1,0.014236111111110599,0.32180503243488723,1.5327946736736382,35.287499999999994
full,ART-MAPPO,case1,702,11,19,8,7,True,False,7,1,0,0.006349206349205988,0.30741016483701145,1.7736292152442183,34.771428571428565
full,ART-MAPPO,case1,702,12,20,8,8,True,True,8,1,1,0.014236111111110599,0.3171774103039806,1.6778694806175412,35.287499999999994
full,ART-MAPPO,case1,702,13,20,8,8,True,True,8,1,1,0.014583333333332801,0.3628109042836051,1.6488585540968468,35.287499999999994
full,ART-MAPPO,case1,702,14,20,8,8,True,True,8,1,1,0.01180555555555518,0.3013053585264669,1.5395073917157698,35.28125
full,ART-MAPPO,case1,702,15,20,8,8,True,True,8,1,1,0.008680555555555063,0.3293939737825856,1.9407917353407067,35.26875
full,ART-MAPPO,case1,702,16,20,8,8,True,True,8,1,1,0.005902777777777443,0.2697680603253759,1.6624872555074397,35.26875
full,ART-MAPPO,case1,702,17,19,8,7,True,False,7,1,0,0.013492063492062726,0.3238314146085645,1.752294512313645,35.57857142857143
full,ART-MAPPO,case1,702,18,20,8,8,True,True,8,1,1,0.011458333333332979,0.2564647346559548,1.457570576937357,35.28125
full,ART-MAPPO,case1,702,19,20,8,8,True,True,8,1,1,0.011805555555554886,0.26430750255769175,1.7326130225214578,35.275
full,ART-MAPPO,case1,702,20,20,8,8,True,True,8,1,1,0.014930555555555152,0.23578785662376395,1.8557106664601393,35.275
full,ART-MAPPO,case1,703,1,20,8,8,True,True,8,1,1,0.020486111111110244,0.23846264131737993,1.8902747689237913,35.175
full,ART-MAPPO,case1,703,2,20,8,8,True,True,8,1,1,0.014236111111110894,0.30095215813136716,1.8891891656309308,35.181250000000006
full,ART-MAPPO,case1,703,3,20,8,8,True,True,8,1,1,0.020486111111111278,0.2429462670339151,1.713460772544496,35.181250000000006
full,ART-MAPPO,case1,703,4,20,8,8,True,True,8,1,1,0.017361111111110716,0.30284560111859726,1.7188106405723986,35.18125
