episode,seed,defender_id,target_index,target_id,hit_time_s,min_distance_m,miss_at_arrival_m
1,73401,0,6,26,35.35,0.27473935261286414,0.27473935261286414
1,73401,1,1,21,35.45,2.442071564648706,2.442071564648706
1,73401,2,2,22,34.65,0.9295570448018693,0.9295570448018693
1,73401,3,3,23,32.9,2.3548745242395297,2.3548745242395297
1,73401,4,4,24,35.800000000000004,1.8628125930588695,1.8628125930588695
1,73401,5,2,22,34.6,0.5124214899817904,2.487221087028205
1,73401,6,6,26,35.4,1.2960997627562012,1.2960997627562012
1,73401,7,0,20,37.35,0.12430952340218636,0.12430952340218636
1,73401,8,7,27,35.25,0.5279075500372781,0.5279075500372781
1,73401,9,0,20,37.300000000000004,0.3908639784664194,1.5171222702681517
1,73401,10,2,22,34.550000000000004,0.921789258760092,2.8993571915990253
1,73401,11,4,24,35.7,0.7900535246201197,2.8500526027132485
1,73401,12,5,25,38.300000000000004,1.2098425708488179,1.2098425708488179
1,73401,13,4,24,35.800000000000004,0.642425867435811,0.642425867435811
1,73401,14,0,20,37.35,1.3158675828145927,1.3158675828145927
1,73401,15,7,27,35.2,0.31433659429945,2.2936980071953017
1,73401,16,7,27,35.25,0.32941549457737795,0.32941549457737795
1,73401,17,1,21,35.45,2.7989157713891606,2.7989157713891606
1,73401,18,5,25,38.300000000000004,1.168220152285813,1.168220152285813
1,73401,19,3,23,32.9,0.03287229580898261,0.03287229580898261
2,73402,0,1,21,34.550000000000004,0.8932132457372758,2.775310828854788
2,73402,1,7,27,35.35,0.4782453683164629,0.4782453683164629
2,73402,2,4,24,35.050000000000004,0.8830159967784263,0.8830159967784263
2,73402,3,3,23,32.550000000000004,0.15400981216890153,0.15400981216890153
2,73402,4,2,22,34.4,2.0158870010442187,2.0158870010442187
2,73402,5,5,25,38.35,1.8005442867165034,1.8005442867165034
2,73402,6,1,21,34.7,0.05056471292036506,0.05056471292036506
2,73402,7,6,26,35.65,0.672626050565575,1.746637928919219
2,73402,8,7,27,35.35,2.4257765497855064,2.4257765497855064
2,73402,9,7,27,35.300000000000004,0.2284531035676671,1.7550492084445828
2,73402,10,2,22,34.35,0.48475971477632657,2.461845817065597
2,73402,11,4,24,34.9,0.15402481915960203,1.9060576926863917
2,73402,12,5,25,38.35,1.5151434529371868,1.5151434529371868
2,73402,13,5,25,38.300000000000004,1.0772449388728245,2.975094771534615
2,73402,14,0,20,37.35,1.0995807535969686,2.9919644578558318
2,73402,15,0,20,37.4,0.45915695410487684,0.45915695410487684
2,73402,16,6,26,35.7,0.27549752612207407,0.27549752612207407
2,73402,17,0,20,37.4,0.25247192462524415,0.25247192462524415
2,73402,18,2,22,34.4,1.2203921808501388,1.2203921808501388
2,73402,19,4,24,34.9,0.5476351994710883,1.512428691930715
3,73403,0,0,20,37.2,0.5227988940510953,2.4090015841283647
3,73403,1,0,20,37.25,1.4355574562025335,1.4355574562025335
3,73403,2,2,22,36.4,0.9889171633573104,0.9911444722823763
3,73403,3,3,23,34.550000000000004,0.6960965667590997,0.6960965667590997
3,73403,4,7,27,36.6,1.3037057218705872,1.3037057218705872
3,73403,5,5,25,40.050000000000004,0.6640243134622059,0.6640243134622059
3,73403,6,6,26,36.0,0.40730135454575805,0.40730135454575805
3,73403,7,1,21,33.95,0.9758556858042533,0.9775426829775029
3,73403,8,2,22,37.0,2.638661308498047,2.638661308498047
3,73403,9,1,21,33.9,0.3463631093658597,0.3463631093658597
3,73403,10,4,24,35.65,1.8492136319685986,1.8492136319685986
3,73403,11,4,24,35.550000000000004,0.7550586645669919,0.7550586645669919
3,73403,12,3,23,34.6,0.9416110335613056,0.9416110335613056
3,73403,13,4,24,35.6,0.6232585257388225,0.6232585257388225
3,73403,14,3,23,35.800000000000004,0.480156027364832,0.480156027364832
3,73403,15,7,27,35.7,0.83691798220553,0.83691798220553
3,73403,16,1,21,34.0,0.8367633523873171,0.8367633523873171
3,73403,17,7,27,35.7,0.2578411551301432,1.725514044388789
3,73403,18,5,25,40.050000000000004,0.8263427217293458,0.8263427217293458
3,73403,19,6,26,36.95,1.8265874203256895,1.8265874203256895
