case,seed,missed_defender_internal_id,missed_defender_paper_label,assigned_target_internal_id,assigned_target_paper_label,closest_time_s,minimum_distance_m,kill_radius_m,miss_margin_m,range_rate_sign_change_time_s,sign_change_minus_closest_s,closing_speed_1s_before_mps,closing_speed_0p5s_before_mps,range_rate_0p5s_after_mps,los_rate_at_closest_radps,max_los_rate_terminal_2s_radps,heading_error_at_closest_deg,tgo_at_closest_s,lateral_control_at_closest_g,max_lateral_control_last_2s_g,control_norm_at_closest_g,max_control_norm_last_2s_g,fraction_abs_ny_ge_0p95_last_2s,fraction_abs_nz_ge_0p95_last_2s,max_target_acceleration_last_2s_mps2,first_peer_hit_time_s,last_peer_hit_time_s,closest_minus_first_peer_hit_s,group_observed_hit_spread_s,incomplete_group_delay_lower_bound_s,defender_hit_count,target_coverage_count
case1,76048,5,D-UAV 6,25,A6,33.1,3.243160704674884,3.0,0.24316070467488382,33.15,0.04999999999999716,77.1481994874447,76.94671378487833,76.98071371350284,23.88714934154352,23.88714934154352,97.32201425306425,0.09551737590329089,0.23213449016635412,0.6473984179712327,0.23277490786352079,0.6476333744209454,0.0,0.0,3.3343508796090108e-06,33.1,33.1,0.0,0.0,41.9,19,8
case2,77008,1,D-UAV 2,21,A2,26.150000000000002,3.5743973919113023,3.0,0.5743973919113023,26.200000000000003,0.05000000000000071,79.21556785424639,79.42331675364639,79.79496489041097,19.312623836211966,19.312623836211966,77.92741756305858,0.08935993479778256,0.7345504777376362,0.7345504777376362,0.7885856999507395,0.7885856999507395,0.0,0.0,6.795148690983672,26.1,26.15,0.05000000000000071,0.04999999999999716,48.9,19,8
