case,seed,selection,interceptor_hits,target_coverage,missed_defender_id,assigned_target_id,missed_min_distance_m,miss_margin_m,closest_approach_time_s,training_performed
case1,76048,earliest exactly-one-miss qualifying Case-1 seed whose incomplete group differs from the Case-2 A2 group,19,8,5,25,3.243160704674884,0.24316070467488382,33.1,False
case2,77008,earliest qualifying Case-2 seed,19,8,1,21,3.5743973919113023,0.5743973919113023,26.150000000000002,False
