seed,defender_id,target_index,target_id,hit_time_s,miss_at_arrival_m,min_distance_m
74003,0,7,27,35.1,0.42088145421489415,0.42088145421489415
74003,1,7,27,35.1,2.535577945273526,0.5557842653511571
74003,2,5,25,38.050000000000004,0.3859964579866406,0.3859964579866406
74003,3,3,23,32.35,0.12224809987875648,0.12224809987875648
74003,4,4,24,38.75,1.6831626271985574,1.6831626271985574
74003,5,4,24,38.75,1.55524212220406,1.55524212220406
74003,6,6,26,35.85,1.1801892068272102,0.9586539967746932
74003,7,2,22,34.25,0.4900611498864974,0.4900611498864974
74003,8,1,21,36.35,1.0489718095893217,1.0489718095893217
74003,9,0,20,36.550000000000004,0.501978472933516,0.501978472933516
74003,10,6,26,36.050000000000004,1.2614708594505288,1.2614708594505288
74003,11,3,23,32.25,1.9866209715648988,0.3937151685821146
74003,12,5,25,38.0,0.8297935754322854,0.8297935754322854
74003,13,4,24,38.7,2.9740466772080696,0.9141226169038394
74003,14,6,26,35.800000000000004,1.229038094128279,0.9077769953399564
74003,15,0,20,36.6,0.6931368900852851,0.6931368900852851
74003,16,7,27,35.15,1.2647385132856996,1.2647385132856996
74003,17,1,21,36.300000000000004,2.7908412338074555,0.9067385141618285
74003,18,2,22,33.95,2.4400406720314467,0.4612713124974047
74003,19,2,22,34.25,0.34193168900042,0.34193168900042
