variant,algorithm,training_auc_1e3,final_return_std_1e3,interception_success_count,interception_success_rate_percent,interception_success_ci95_low_percent,interception_success_ci95_high_percent,test_episode_count,terminal_metric_eligible_count,E_n_g_mean,E_n_g_std,E_miss_m_mean,E_miss_m_std,E_co_time_s_mean,E_co_time_s_std,E_t_s_mean,E_t_s_std
full,Full ART-MAPPO,535.0719386853968,108.91026979978683,1000,100.0,99.61732415144449,100.0,1000,1000,0.03150855682908137,0.006094221000418123,1.4314519774879357,0.19785709025660114,0.07677500000000105,0.007079512579011532,26.830493750000247,0.4979473459441035
no_trust,w/o trust-aware mechanism,535.6679195924075,107.53517066447407,1000,100.0,99.61732415144449,100.0,1000,1000,0.03067250099847354,0.006064750756084389,1.413789598454496,0.20051831103551912,0.06673368055555648,0.0066003564749062,27.247550000000253,0.48071708367765115
no_gru,w/o GRU temporal encoder,535.0382030013299,106.24526115850576,1000,100.0,99.61732415144449,100.0,1000,1000,0.034133517249663174,0.005617266688503821,1.4307448794679303,0.21167949137158065,0.06557395833333424,0.006583399992702411,26.937812500000252,0.4925352870381308
no_attention_residual,w/o attention–residual backbone,535.0366308683031,106.00605952230516,1000,100.0,99.61732415144449,100.0,1000,1000,0.033781260516338195,0.006536089229466227,1.4256856825498643,0.201094696897224,0.0698864583333343,0.006671743515711185,26.862875000000248,0.496166579915487
