ablation,metric,paired_eligible_count,full_mean,ablation_mean,full_minus_ablation,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples
no_trust,E_n_g,1000,0.03150855682908137,0.03067250099847354,0.0008360558306078305,0.0007092835045904018,0.0009620019423528352,20000
no_trust,E_miss_m,1000,1.4314519774879357,1.413789598454496,0.017662379033439948,0.0005742762166420476,0.035255869804183285,20000
no_trust,E_co_time_s,1000,0.07677500000000105,0.06673368055555648,0.010041319444444571,0.009744791666666785,0.010335425347222356,20000
no_trust,E_t_s,1000,26.830493750000247,27.247550000000253,-0.41705625000000557,-0.4184312500000054,-0.4156875000000055,20000
no_gru,E_n_g,1000,0.03150855682908137,0.034133517249663174,-0.0026249604205817977,-0.002794351652049837,-0.002455551897512925,20000
no_gru,E_miss_m,1000,1.4314519774879357,1.4307448794679303,0.0007070980200055228,-0.0174133505294789,0.01871090916298095,20000
no_gru,E_co_time_s,1000,0.07677500000000105,0.06557395833333424,0.011201041666666817,0.010902769097222357,0.011500694444444588,20000
no_gru,E_t_s,1000,26.830493750000247,26.937812500000252,-0.10731875000000136,-0.10794390625000151,-0.10669375000000145,20000
no_attention_residual,E_n_g,1000,0.03150855682908137,0.033781260516338195,-0.0022727036872568175,-0.0025646335761571183,-0.0019769321192714792,20000
no_attention_residual,E_miss_m,1000,1.4314519774879357,1.4256856825498643,0.005766294938071602,-0.01089136307084295,0.02275108706235572,20000
no_attention_residual,E_co_time_s,1000,0.07677500000000105,0.0698864583333343,0.006888541666666747,0.00659374131944452,0.007178480902777869,20000
no_attention_residual,E_t_s,1000,26.830493750000247,26.862875000000248,-0.03238125000000048,-0.03283750000000049,-0.031931250000000445,20000
