episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case2,8,18,8,6,True,False,0.1999988555908203,0.08124947547912598
2,case2,8,18,8,6,True,False,1.0500030517578125,0.20000021159648895
3,case2,8,18,8,6,True,False,0.1999988555908203,0.062499046325683594
4,case2,8,18,8,6,True,False,27.849998474121094,4.0357136726379395
5,case2,8,19,8,6,True,False,28.599998474121094,3.63124942779541
6,case2,8,18,8,6,True,False,0.1999988555908203,0.06874942779541016
7,case2,8,17,8,5,True,False,0.40000152587890625,0.1071428582072258
8,case2,8,19,8,7,True,False,28.599998474121094,3.63124942779541
9,case2,8,19,8,7,True,False,0.1999988555908203,0.0624995231628418
10,case2,8,19,8,6,True,False,26.849998474121094,3.41249942779541
11,case2,8,17,8,6,True,False,0.1999988555908203,0.0642852783203125
12,case2,8,18,8,6,True,False,0.1999988555908203,0.06874942779541016
13,case2,8,18,8,5,True,False,27.0,3.9214282035827637
14,case2,8,19,8,6,True,False,1.75,0.2812495231628418
15,case2,8,19,8,6,True,False,27.79999542236328,4.028570652008057
16,case2,8,20,8,7,True,False,26.25,3.331249713897705
17,case2,8,18,8,6,True,False,0.14999961853027344,0.06874966621398926
18,case2,8,18,8,6,True,False,0.34999847412109375,0.0999995619058609
19,case2,8,19,8,7,True,False,0.14999961853027344,0.0642852783203125
20,case2,8,18,8,6,True,False,26.299999237060547,3.343749523162842
