case,variant,target_coverage_success_count,target_coverage_success_rate,target_coverage_success_ci95_low,target_coverage_success_ci95_high,all_defenders_hit_count,all_defenders_hit_rate,all_defenders_hit_ci95_low,all_defenders_hit_ci95_high,cooperative_success_count,cooperative_success_rate,cooperative_success_ci95_low,cooperative_success_ci95_high,mission_success_count,mission_success_rate,mission_success_ci95_low,mission_success_ci95_high
case1,full,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case1,no_trust,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case1,no_gru,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case1,no_attention_residual,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case2,full,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case2,no_trust,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case2,no_gru,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
case2,no_attention_residual,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0,100,1.0,0.9630065017930144,1.0
