case,variant,E_co_time_s_eligible_n,E_co_time_s_median,E_co_time_s_q25,E_co_time_s_q75,E_co_time_s_mean,E_co_time_s_std,E_n_g_eligible_n,E_n_g_median,E_n_g_q25,E_n_g_q75,E_n_g_mean,E_n_g_std,E_miss_m_eligible_n,E_miss_m_median,E_miss_m_q25,E_miss_m_q75,E_miss_m_mean,E_miss_m_std,E_t_s_eligible_n,E_t_s_median,E_t_s_q25,E_t_s_q75,E_t_s_mean,E_t_s_std
case1,full,100,0.07638888888889,0.0711805555555566,0.0812500000000009,0.0767916666666677,0.0064103920691997,100,0.0312631557114706,0.0271827858159454,0.0348798775591276,0.031606929808582,0.0060809327604309,100,1.4775530042689873,1.3151092561245252,1.5803728700566118,1.4539322755712158,0.1735155528946826,100,26.725000000000243,26.31875000000024,27.10156250000025,26.73743750000025,0.5176390646300437
case1,no_trust,100,0.0659722222222232,0.0634548611111119,0.0705729166666677,0.0667534722222231,0.0060434311428728,100,0.0304906886976165,0.0260463829372079,0.034844183911656,0.0308578914393817,0.005771840908403,100,1.3917121833527977,1.2707702830218164,1.550992047492541,1.4070069745274738,0.2106659668122385,100,27.14687500000025,26.75781250000025,27.503125000000257,27.15656250000026,0.4983672639393775
case1,no_gru,100,0.0652777777777787,0.0611111111111117,0.0691840277777784,0.0657013888888898,0.0059346863185083,100,0.0337308794412996,0.0302603282986823,0.0380728829827858,0.0339916899466968,0.0053441856693588,100,1.4465236522353215,1.2961393618520076,1.6037193822346991,1.4469783298560044,0.2116467696529815,100,26.840625000000248,26.43281250000024,27.206250000000253,26.84525000000025,0.5106350955012613
case1,no_attention_residual,100,0.0696180555555566,0.0652777777777787,0.0743055555555566,0.070111111111112,0.0062789034254965,100,0.0344496447597953,0.0296971422206483,0.0385109603701825,0.0339854280580902,0.0061352467168963,100,1.4616191585591904,1.3134322057729615,1.5632449452565806,1.4479517055195372,0.2051357371978416,100,26.756250000000247,26.35937500000024,27.13281250000025,26.76987500000025,0.5156441341720729
