case,variant,training_seed,updates,final_environment_steps,final_window_updates,return_auc_time_normalized,return_auc_relative_to_full,final_window_return,final_return_relative_to_full,final_window_return_std,final_return_std_relative_to_full,final_window_smoothed_return_std,smoothed_final_return_std_relative_to_full,final_window_return_cv_percent
case1,full,8303,585,599040,58,535071.9386853968,1.0,534155.1095136057,1.0,108910.26979978684,1.0,5875.604396252273,1.0,20.389259198317703
case1,no_trust,8303,585,599040,58,535667.9195924075,1.0011138332323593,535662.7337334718,1.002822446501053,107535.17066447406,0.9873740177318386,5997.424911188556,1.0207332738422596,20.07516369768221
case1,no_gru,8303,585,599040,58,535038.2030013299,0.9999369511244603,533402.2506197356,0.998590561279933,106245.26115850576,0.975530235613407,5899.430251335371,1.004055047528097,19.918412611694887
case1,no_attention_residual,8303,585,599040,58,535036.630868303,0.9999340129531356,533408.3694408606,0.9986020164191164,106006.05952230516,0.9733339171519768,5755.288908549094,0.9795228746544064,19.87334012651973
case2,full,8303,585,599040,58,606957.4951253376,1.0,608135.3521832721,1.0,151906.89936092473,1.0,7872.7359559047745,1.0,24.97912657364227
case2,no_trust,8303,585,599040,58,606952.0405862087,0.9999910133095437,608131.6791298365,0.9999939601382776,146557.022137644,0.9647818680666398,7982.058169466639,1.0138861780928738,24.099553956365096
case2,no_gru,8303,585,599040,58,606957.4732991259,0.9999999640399668,608135.7583734717,1.000000667927293,154140.4094717432,1.0147031512078444,8319.621227448462,1.0567636554873292,25.346381519154416
case2,no_attention_residual,8303,585,599040,58,606957.4686382036,0.9999999563608092,608138.9191929093,1.0000058654863992,163477.90099837276,1.076171666238515,8506.403160711046,1.0804888171476148,26.88167059186612
