episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case2,8,8,4,2,False,False,0.04999542236328125,0.04999542236328125,896.8595432843664,17937.190865687327
2,case2,8,8,3,2,False,False,0.09999847412109375,0.0499979667365551,898.3870461466344,17967.740922932688
3,case2,8,8,4,2,False,False,0.04999542236328125,0.024997711181640625,887.5993695820449,17751.987391640898
4,case2,8,6,2,2,False,False,0.100006103515625,0.07500457763671875,903.7965151164833,18075.930302329667
5,case2,8,8,4,2,False,False,0.09999847412109375,0.0749969482421875,884.8066532845987,17696.133065691974
6,case2,8,12,5,4,False,False,0.15000152587890625,0.07500076293945312,880.3153750751401,17606.3075015028
7,case2,8,6,2,2,False,False,0.0500030517578125,0.049999237060546875,908.0934595457336,18161.869190914673
8,case2,8,9,4,2,False,False,0.0500030517578125,0.0333353690803051,901.8269794300198,18036.539588600397
9,case2,8,9,4,2,False,False,0.09999847412109375,0.0499979667365551,900.2924177861307,18005.848355722614
10,case2,8,7,3,2,False,False,0.0500030517578125,0.02500152587890625,906.9174452716252,18138.348905432504
11,case2,8,11,5,3,False,False,0.09999847412109375,0.049999237060546875,900.0731468125014,18001.462936250027
12,case2,8,10,4,3,False,False,0.09999847412109375,0.03749847412109375,897.9367229222277,17958.734458444553
13,case2,8,11,5,3,False,False,0.0500030517578125,0.03750038146972656,903.1656938877888,18063.313877755776
14,case2,8,10,4,3,False,False,0.09999847412109375,0.06249809265136719,897.6981769348029,17953.963538696058
15,case2,8,8,4,2,False,False,0.100006103515625,0.07500457763671875,899.8043320892612,17996.086641785223
16,case2,8,11,6,3,False,False,0.34999847412109375,0.16666920483112335,876.1602376595808,17523.204753191618
17,case2,8,9,5,2,False,False,0.09999847412109375,0.07500076293945312,903.8133518988732,18076.267037977464
18,case2,8,7,3,2,False,False,0.15000152587890625,0.125,909.936238450068,18198.72476900136
19,case2,8,9,4,3,False,False,0.149993896484375,0.0999959334731102,908.1236625096295,18162.47325019259
20,case2,8,9,4,3,False,False,0.09999847412109375,0.0833333358168602,906.0560689577367,18121.121379154734
