condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_trust_case2,case2,no_trust,1,99035,0,3,3,1,1,0,1.7500000000000249,0.70000000000001,0.3371596320497677,1.8036243366515423,27.450000000000255,1.8036243366515423
formal_ablation_no_trust_case2,case2,no_trust,1,99035,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.5565295044426954
formal_ablation_no_trust_case2,case2,no_trust,1,99035,2,3,2,1,0,0,nan,nan,nan,nan,nan,2.9134347260494082
formal_ablation_no_trust_case2,case2,no_trust,1,99035,3,3,2,1,0,0,nan,nan,nan,nan,nan,2.7032167249364725
formal_ablation_no_trust_case2,case2,no_trust,1,99035,4,2,2,1,1,0,0.6000000000000085,0.30000000000000426,0.7478833644851273,2.3646932890764045,24.650000000000215,2.3646932890764045
formal_ablation_no_trust_case2,case2,no_trust,1,99035,5,2,2,1,1,0,1.2500000000000178,0.6250000000000089,0.439260452926696,2.1827194056853303,25.900000000000233,2.1827194056853303
formal_ablation_no_trust_case2,case2,no_trust,1,99035,6,2,2,1,1,0,18.399999999999412,9.199999999999706,0.4508721428019119,2.5348401954431816,43.94999999999964,2.5348401954431816
formal_ablation_no_trust_case2,case2,no_trust,1,99035,7,2,2,1,1,0,0.6500000000000092,0.3250000000000046,0.4470410681221511,1.6299485213467446,27.05000000000025,1.6299485213467446
formal_ablation_no_trust_case2,case2,no_trust,2,99036,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.476585695391577
formal_ablation_no_trust_case2,case2,no_trust,2,99036,1,3,1,1,0,0,nan,nan,nan,nan,nan,2.8872033136914155
formal_ablation_no_trust_case2,case2,no_trust,2,99036,2,3,1,1,0,0,nan,nan,nan,nan,nan,3.1867937203253356
formal_ablation_no_trust_case2,case2,no_trust,2,99036,3,3,3,1,1,0,1.5000000000000213,0.5000000000000083,0.6557808430994895,2.862815755530661,30.150000000000293,2.844313753284441
formal_ablation_no_trust_case2,case2,no_trust,2,99036,4,2,2,1,1,0,0.8500000000000121,0.42500000000000604,0.3486801153775555,2.7337505354653002,25.00000000000022,2.7337505354653002
formal_ablation_no_trust_case2,case2,no_trust,2,99036,5,2,2,1,1,0,46.949999999997715,23.474999999998857,0.2835934049433724,2.72741370854507,73.59999999999796,1.7247943977871403
formal_ablation_no_trust_case2,case2,no_trust,2,99036,6,2,2,1,1,0,1.9500000000000277,0.9750000000000139,0.43154544776040693,2.2041076092470515,27.75000000000026,2.2041076092470515
formal_ablation_no_trust_case2,case2,no_trust,2,99036,7,2,2,1,1,0,1.4500000000000206,0.7250000000000103,0.44680603205895186,1.8159510308501376,28.250000000000266,1.8159510308501376
formal_ablation_no_trust_case2,case2,no_trust,3,99037,0,3,3,1,1,0,1.4500000000000206,0.5000000000000083,0.23285758392150158,1.9069107372139242,31.20000000000031,1.9069107372139242
formal_ablation_no_trust_case2,case2,no_trust,3,99037,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.770373955852816
formal_ablation_no_trust_case2,case2,no_trust,3,99037,2,3,2,1,0,0,nan,nan,nan,nan,nan,3.0785506479124543
formal_ablation_no_trust_case2,case2,no_trust,3,99037,3,3,2,1,0,0,nan,nan,nan,nan,nan,3.0428436494724864
formal_ablation_no_trust_case2,case2,no_trust,3,99037,4,2,2,1,1,0,1.200000000000017,0.6000000000000085,0.2944018708992523,2.8477660168284613,23.850000000000204,2.8477660168284613
formal_ablation_no_trust_case2,case2,no_trust,3,99037,5,2,2,1,1,0,2.5500000000000362,1.2750000000000181,0.35952253781038535,2.5628452982338814,27.400000000000254,2.5628452982338814
formal_ablation_no_trust_case2,case2,no_trust,3,99037,6,2,2,1,1,0,1.050000000000015,0.5250000000000075,0.3179396105207962,2.3945697945441404,26.30000000000024,2.3945697945441404
formal_ablation_no_trust_case2,case2,no_trust,3,99037,7,2,2,1,1,0,1.3500000000000192,0.6750000000000096,0.5632483402135475,2.1424780748383645,26.40000000000024,2.1424780748383645
formal_ablation_no_trust_case2,case2,no_trust,4,99038,0,3,2,1,0,0,nan,nan,nan,nan,nan,1.9460987328518673
formal_ablation_no_trust_case2,case2,no_trust,4,99038,1,3,3,1,1,0,17.049999999999372,7.233333333333074,0.4033266567659668,2.364291702907754,44.24999999999962,2.364291702907754
formal_ablation_no_trust_case2,case2,no_trust,4,99038,2,3,3,1,1,0,0.9000000000000128,0.3777777777777824,0.4119943322506816,1.0682950588665117,26.600000000000243,1.0546171398015705
formal_ablation_no_trust_case2,case2,no_trust,4,99038,3,3,3,1,1,0,47.299999999997816,20.911111111110138,0.4185841315676453,2.5876410086281165,72.29999999999804,2.5876410086281165
formal_ablation_no_trust_case2,case2,no_trust,4,99038,4,2,2,1,1,0,0.8500000000000121,0.42500000000000604,0.3007525917369423,1.7545987839862098,25.80000000000023,1.7545987839862098
formal_ablation_no_trust_case2,case2,no_trust,4,99038,5,2,2,1,1,0,1.8000000000000256,0.9000000000000128,0.3583136640176909,2.4266963417684595,28.000000000000263,2.4266963417684595
formal_ablation_no_trust_case2,case2,no_trust,4,99038,6,2,2,1,1,0,1.1500000000000163,0.5750000000000082,0.3428806639347367,2.131004748402389,29.10000000000028,2.131004748402389
formal_ablation_no_trust_case2,case2,no_trust,4,99038,7,2,2,1,1,0,20.94999999999903,10.474999999999515,0.2628771911730161,2.356585857363603,49.849999999999305,2.356585857363603
formal_ablation_no_trust_case2,case2,no_trust,5,99039,0,3,3,1,1,0,1.3500000000000192,0.5000000000000083,0.5601773440016865,2.428485391338659,28.40000000000027,1.8951667688090048
