case,dataset_kind,n,metric,mean,std,median,q1,q3,min,max
case1,paper_nominal_mc_source,1000,E_co_time_s,0.05050416666618196,0.0118241837661407,0.0491666666666276,0.04166666666682772,0.0583333333324845,0.0191666666663878,0.0899999999986903
case1,paper_nominal_mc_source,1000,E_n_g,0.07175101407179878,0.011144467030937345,0.07168134915751101,0.06362089863753068,0.07919675560918893,0.0353751514261434,0.10800580721945
case1,paper_nominal_mc_source,1000,E_miss_m,2.997316933247902,0.2668446706836123,2.981761991211905,2.8169492236467026,3.1823007457194126,2.22048189787385,3.83651080684731
case1,paper_nominal_mc_source,1000,E_t_s,28.8435,0.8487332314090794,28.95,28.4,29.45,25.65,30.5
case1,synthetic_failure_reference_v2,1000,E_co_time_s,0.061438062390142545,0.015000269347424624,0.06018499759210626,0.050741271543710324,0.07147310071462787,0.019980040834623083,0.10816691586303914
case1,synthetic_failure_reference_v2,1000,E_n_g,0.08556219814127203,0.013504462013165828,0.08539467631619511,0.07599595514116918,0.09500805299780986,0.04157978682776494,0.13283761323365678
case1,synthetic_failure_reference_v2,1000,E_miss_m,3.393938572858826,0.35929308672054927,3.3686820966527287,3.147733614654609,3.6229560183645466,2.396915568360537,4.637299091283877
case1,synthetic_failure_reference_v2,1000,E_t_s,31.757550000000002,1.4144897591636283,31.650000000000002,30.900000000000002,32.550000000000004,27.35,36.75
case2,paper_nominal_mc_source,1000,E_co_time_s,0.08476666666623124,0.0362476014491744,0.0766666666653691,0.059999999998945,0.104166666665151,0.0275000000000048,0.316666666662059
case2,paper_nominal_mc_source,1000,E_n_g,0.1658156531294892,0.05038652384865847,0.167409694628604,0.12345432143224651,0.20842262053969673,0.0491885310032788,0.27893158618029
case2,paper_nominal_mc_source,1000,E_miss_m,3.0865607819513214,0.26607166054920445,3.077010270846925,2.9050433456113525,3.2640571441510677,2.20447206149837,3.89256392178558
case2,paper_nominal_mc_source,1000,E_t_s,33.3974,2.736138646833288,33.1,31.6,34.95,26.7,44.65
case2,synthetic_failure_reference_v2,1000,E_co_time_s,0.11606916607836931,0.05154313569739485,0.10553177327204788,0.08044660761345884,0.14286532840446314,0.03104998261768115,0.41630285173462644
case2,synthetic_failure_reference_v2,1000,E_n_g,0.21509938025234873,0.06646698417615364,0.21997702164089222,0.1610792468580613,0.2693961840759583,0.07222961976148612,0.3719686499652954
case2,synthetic_failure_reference_v2,1000,E_miss_m,3.6795278359175514,0.4109434849866214,3.6565562625770145,3.396659876939995,3.95899539036734,2.528497437520842,4.977623180080048
case2,synthetic_failure_reference_v2,1000,E_t_s,38.1495,3.444651705960325,37.95,35.7875,40.2625,28.5,44.95
