case,dataset_kind,n,metric,mean,std,median,q1,q3,min,max
case1,paper_nominal_mc_source,1000,E_co_time_s,0.05050416666618196,0.0118241837661407,0.0491666666666276,0.04166666666682772,0.0583333333324845,0.0191666666663878,0.0899999999986903
case1,paper_nominal_mc_source,1000,E_n_g,0.07175101407179878,0.011144467030937345,0.07168134915751101,0.06362089863753068,0.07919675560918893,0.0353751514261434,0.10800580721945
case1,paper_nominal_mc_source,1000,E_miss_m,2.997316933247902,0.2668446706836123,2.981761991211905,2.8169492236467026,3.1823007457194126,2.22048189787385,3.83651080684731
case1,paper_nominal_mc_source,1000,E_t_s,28.8435,0.8487332314090794,28.95,28.4,29.45,25.65,30.5
case1,synthetic_failure_reference,1000,E_co_time_s,0.056555128286709624,0.013032521852695279,0.05534039418942381,0.047170980476487406,0.06530952874043802,0.02171428481602063,0.09971836241707156
case1,synthetic_failure_reference,1000,E_n_g,0.07893522293130378,0.012262347794821486,0.07890228842664174,0.07012873060124683,0.08728552075116458,0.038580038744358426,0.1188344996018285
case1,synthetic_failure_reference,1000,E_miss_m,3.237021136590898,0.29390165207767666,3.219466049594748,3.0358569736382774,3.4396593496305705,2.380010412644432,4.162696874454597
case1,synthetic_failure_reference,1000,E_t_s,30.57385,0.9176223123966681,30.700000000000003,30.1,31.212500000000002,27.150000000000002,32.4
case2,paper_nominal_mc_source,1000,E_co_time_s,0.08476666666623124,0.0362476014491744,0.0766666666653691,0.059999999998945,0.104166666665151,0.0275000000000048,0.316666666662059
case2,paper_nominal_mc_source,1000,E_n_g,0.1658156531294892,0.05038652384865847,0.167409694628604,0.12345432143224651,0.20842262053969673,0.0491885310032788,0.27893158618029
case2,paper_nominal_mc_source,1000,E_miss_m,3.0865607819513214,0.26607166054920445,3.077010270846925,2.9050433456113525,3.2640571441510677,2.20447206149837,3.89256392178558
case2,paper_nominal_mc_source,1000,E_t_s,33.3974,2.736138646833288,33.1,31.6,34.95,26.7,44.65
case2,synthetic_failure_reference,1000,E_co_time_s,0.09752561869547577,0.041733485327346935,0.08818400110998613,0.0686209847407557,0.1190197051231069,0.03268210994506163,0.3657244551697826
case2,synthetic_failure_reference,1000,E_n_g,0.18571191201609008,0.05653043717979582,0.18782319917531212,0.13743212175312872,0.23310379832926847,0.05311996356014811,0.3122624927038663
case2,synthetic_failure_reference,1000,E_miss_m,3.3945710057419745,0.29843359097848404,3.3835310085044172,3.1847334808049035,3.5854626427489382,2.3920586052243142,4.312615911364653
case2,synthetic_failure_reference,1000,E_t_s,35.719550000000005,2.9815868522747513,35.4,33.7875,37.45,28.35,44.95
