condition,case,variant,episode,seed,mean_sync_spread,max_sync_spread,targets_covered,complete_groups,coordinated_groups
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,53,99453,0.12500000000000178,0.20000000000000284,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,54,99454,0.11875000000000169,0.20000000000000284,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,55,99455,0.11875000000000169,0.15000000000000213,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,56,99456,0.10625000000000151,0.15000000000000213,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,57,99457,0.1125000000000016,0.20000000000000284,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,58,99458,0.10625000000000151,0.15000000000000213,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,59,99459,0.1125000000000016,0.15000000000000213,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,60,99460,0.12500000000000178,0.20000000000000284,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,61,99461,0.10625000000000151,0.15000000000000213,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,62,99462,0.11875000000000169,0.25000000000000355,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,63,99463,0.13125000000000187,0.25000000000000355,8,8,8
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,64,99464,0.10000000000000142,0.20000000000000284,8,8,8
