episode,step,time,case,defender_id,target_id,defender_pos_x,defender_pos_y,defender_pos_z,defender_vx,defender_vy,defender_vz,defender_speed,defender_pitch,defender_yaw,load_y,load_z,load_norm,dist_to_target,tgo
1,535,26.75,case1,4,24,873.2747295561937,155.33209415938052,50.32517053339744,35.22403027839565,4.951035366138779,2.1060191305695497,35.632574658988865,0.05913822466224412,0.1396436216676873,0.012460178412064498,0.27406001002143693,0.2753919301188788,1.4358078765971565,0.15475481870460295
1,535,26.75,case1,12,24,874.1948018977123,155.47697256046098,50.37885206555457,35.216516777708456,4.8462075985712865,2.0997757308460865,35.61036141578629,0.058999525489545755,0.1367528678068882,0.011892630969929518,0.3472234507701887,0.34845663762979967,0.5052334218261197,0.1286139311202711
1,566,28.3,case1,9,21,-775.5037661581442,351.6168216115921,48.28142676964387,-35.9188635099981,11.247933357416521,2.1778026453103316,37.70177164304984,0.057796105452020526,2.838117213608064,0.011395274872693017,-0.5145664542345186,0.5147972485258804,2.653357734857868,0.17916511611389105
1,566,28.3,case1,17,21,-776.0263534114121,351.82338244543826,48.31355844973991,-36.03510253046018,11.457471689074586,2.183187674080691,37.87569907350861,0.057672821021526245,2.833747599755103,0.015627798874924596,-0.5151905936935086,0.5155374708305395,2.091418386419431,0.16373860740259616
1,567,28.35,case1,1,21,-775.369678222014,351.43986352599364,48.27147523415404,-36.4959403570788,11.454199599910773,2.2039368336701077,38.31461455618283,0.057553862068778994,2.8374796442374133,0.020114078684910785,-0.5578844758246339,0.5583817575062487,0.6326543002439149,0.12405840905446835
1,569,28.45,case1,15,27,-661.832851206436,-612.2216910700761,52.49415355132007,-27.524554682145002,-23.306550522024775,2.07507339356917,36.126200149957405,0.05747120184533799,-2.4389855782646337,0.017809429204614605,0.13851639249207937,0.13970277501009812,2.936070271278469,0.18773713828820826
1,570,28.5,case1,7,27,-662.8525208612333,-613.0898542996332,52.57124853326984,-27.14253613390336,-23.45585714687029,2.069529843601428,35.932957797100315,0.05762608531033681,-2.4289275453549024,0.011920793574057073,0.1820762165918559,0.18253906947267678,0.44492849209089413,0.09439809590418372
1,584,29.2,case1,14,26,-521.0406046971655,-623.4185849510918,48.13226763147291,-24.57587419103749,-23.488305815397084,2.049593097683736,34.05693665316057,0.060217756550139924,-2.37881804937466,0.014496972420224881,0.510642532725634,0.5108622627534701,0.3552541415627119,0.12087965605939473
1,585,29.25,case1,6,26,-520.0311737988185,-622.2235055191295,48.03945998621343,-25.29423115009458,-24.229999772208764,2.102027617160363,35.090020497841785,0.059939743543425066,-2.377680287937821,0.031204960327215807,0.5018386244155529,0.5028114532749347,0.21020206491339471,0.10416548226183775
1,603,30.15,case1,11,23,376.007295671608,946.0806140102284,54.37429722248854,17.91646379330518,34.31966435064355,2.25240657618924,38.780309067645526,0.058113897079730185,1.0896674026797257,0.007769170661549603,0.4452381950071332,0.4459848691702593,0.8341104319628934,0.12336076108804407
1,603,30.15,case1,19,23,376.2278174433468,946.5935771977665,54.40534437544944,17.81825434758585,34.60957269640881,2.2622265123828655,38.99269648301585,0.0580492688876458,1.09535047529078,0.01222174334208291,0.44481234894321053,0.4457845520881061,0.28621370903750376,0.10864890743789152
1,604,30.2,case1,3,23,375.7591493318396,945.2166715838655,54.32859525377767,18.46086481902591,35.066186650886465,2.287232465081184,39.69474031216829,0.05765247466345334,1.0862072580124666,0.01934567630163016,0.46660984942819916,0.46776998450555907,0.3177728602456515,0.09324220139354197
1,626,31.3,case1,0,20,-808.076897453676,-568.1838413960869,54.12554481900865,-33.97225567315431,-14.973289155784842,2.1797471283265124,37.18957973960389,0.058645381462240784,-2.7264571710141148,0.004442493284336119,0.5315269983883617,0.5316131460171386,0.22094073312089194,0.10561028090102247
1,626,31.3,case1,8,20,-807.1901410942387,-567.6954631151982,54.06766448103802,-34.819801128848205,-15.34157723956265,2.224737755143449,38.11472157748455,0.058402708560979115,-2.7265838619162923,0.021076150040392597,0.47665770018523934,0.4771595798760915,1.193546127563118,0.13086394035340662
1,626,31.3,case1,16,20,-805.6192237352722,-566.8401547931037,53.966053444349335,-35.6859437538631,-14.83215008557238,2.244505395889432,38.71068408381596,0.05801408510913556,-2.747685141830098,0.03074831626907722,0.44814914811256856,0.4492122972118732,2.979775447054511,0.17577862544961598
1,661,33.05,case1,10,22,734.5317906351229,-883.5292502217784,64.15170287719651,22.09971897059214,-28.922394348891288,2.1221606399306507,36.46102081996059,0.058236456712803114,-0.9183295580033898,0.005951086391698523,0.036982561508129924,0.03754189818043719,1.660491900927652,0.13705851391434312
1,661,33.05,case1,18,22,734.7119102570458,-883.752883440996,64.1681363753751,22.1825594283192,-29.211247255213618,2.135016730349691,36.741273867886115,0.05814224416784543,-0.9213163372850194,0.01317968742380323,0.04060235434589625,0.04275767785586805,1.3728726173983246,0.12857482244774399
1,662,33.1,case1,2,22,734.6919884475918,-883.7835950203946,64.17066127500075,22.405533527407265,-29.2980526090453,2.139236516130059,36.945367127721184,0.057935104383598904,-0.91792513583771,0.012511029508123859,0.0479513289372899,0.04964244038095437,0.15287866779649223,0.08684630854163664
1,662,33.1,case1,5,25,815.3309288285255,-209.09928646679106,43.567001971292136,31.345236320934745,-12.685685593374213,1.9279219177421776,33.86985890006186,0.05695224592330919,-0.38455888234333035,0.012771264634629475,0.6513735430058886,0.6523959684181538,1.7139399822197026,0.16530693704186344
1,662,33.1,case1,13,25,815.7132556544192,-209.22033324611223,43.588666412538466,31.50205607611419,-12.802545095214178,1.9401612229093586,34.059490946115396,0.05699474568836321,-0.38601439711533275,0.01832091304934668,0.6611358423491007,0.6623796201930184,1.3158643297610857,0.1528804532795902
