case,x_metric,y_metric,n,pearson_r,spearman_rho
Case 1,E_co_time_s,E_n_g,987,0.4041463546408894,0.39622146520050916
Case 1,E_co_time_s,E_miss_m,987,0.015096760363665373,0.006077441185594517
Case 1,E_co_time_s,control_energy,987,-0.28449549587608636,-0.32466241108624905
Case 1,E_co_time_s,E_t_s,987,0.14870821081985708,0.16150077618865347
Case 2,E_co_time_s,E_n_g,971,-0.27221769291261966,-0.2878331809930028
Case 2,E_co_time_s,E_miss_m,971,0.17176058736740282,0.16815286706386687
Case 2,E_co_time_s,control_energy,971,0.1279723838790594,0.11003687225703752
Case 2,E_co_time_s,E_t_s,971,0.45229175055170295,0.4259897842708802
