case,successful_records_analyzed,E_co_time_mean_s,E_co_time_median_s,E_co_time_q90_s,E_co_time_q95_s,E_co_time_q99_s,E_co_time_max_s,top5pct_count_including_ties,count_above_0p10s,percent_above_0p10s,count_above_0p15s,count_above_0p20s
Case 1,987,0.05052938196507039,0.0491666666666774,0.0666666666667038,0.07083333333334765,0.08011666666550077,0.0899999999986903,50,0,0.0,0,0
Case 2,971,0.08477171301004707,0.0766666666651872,0.132499999998254,0.1520833333312115,0.20024999999690427,0.316666666662059,49,264,27.188465499485066,54,10
