update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
1,6000,167142941.1015625,0.0,0.0,0.03749999999999787,0.8000000000000002,1.1102230246251565e-16,0.0,-0.000615608986117877,0.7221695780754089,2.7623504161834718,0.0028592439592070875,0.000299991802820144,29.067144870758057
2,12000,166758641.34960938,0.0,0.0,0.0416666666666643,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0008462071709800512,0.44370574280619623,2.77562530040741,0.002329571997701807,0.00029996721217948936,55.71405100822449
3,18000,166189773.12109375,0.0,0.0,0.03749999999999787,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0010880354733671994,0.10494663212448359,2.788458323478699,0.0025122378751806286,0.0002999262307746768,83.82770037651062
4,24000,167098134.76171875,0.0,0.0,0.02916666666666501,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0011532270815223455,0.043755998369306326,2.801425516605377,0.002638842905866914,0.00029986886309977926,111.29768896102905
5,30000,165942016.74804688,0.0,0.0,0.059374999999996625,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0015433245629537851,0.029594884440302848,2.813484013080597,0.0023416902587430678,0.00029979511544580873,139.4207763671875
6,36000,166999052.16601562,0.0,0.0,0.06666666666666288,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0013379618292674422,0.028748191287741066,2.8285545229911806,0.003629709245753432,0.00029970499590002654,167.3733081817627
7,42000,165432322.33203125,0.0,0.0,0.03499999999999801,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0014040357833437155,0.02175698303617537,2.844052016735077,0.0026183250490389833,0.0002995985143450564,194.9789388179779
8,48000,167191113.20117188,0.0,0.0,0.05833333333333002,0.8000000000000002,1.1102230246251565e-16,0.0,-0.001439764246606501,0.01504445574246347,2.858219313621521,0.002834306969237521,0.00029947568245780083,223.80068182945251
9,54000,165488242.3984375,0.0,0.0,0.03749999999999787,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0017138262679509352,0.01812620609998703,2.872131609916687,0.0031482216171454746,0.00029933651370816036,250.24426794052124
10,60000,164334123.66210938,0.0,0.0,0.04999999999999716,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0015876132602443249,0.01740001761354506,2.88780220746994,0.0030532217791785165,0.00029918102335755675,278.12095856666565
11,66000,166021690.9296875,0.0,0.0,0.03958333333333108,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0017255446065973957,0.015415445296093821,2.9059556245803835,0.003386242144490836,0.00029900922845725917,306.1902298927307
12,72000,166592593.0703125,0.0,0.0,0.06249999999999645,0.8000000000000002,1.1102230246251565e-16,0.0,-0.001688311411999166,0.01472521834075451,2.9209888100624086,0.0043786211091621395,0.0002988211478465144,333.98757004737854
13,78000,164662868.0390625,0.0,0.0,1.35729166666659,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0019283594796434046,0.017453605495393276,2.935881567001343,0.00408702250495554,0.0002986168021504807,361.3254041671753
14,84000,167137351.1796875,0.0,0.0,0.0562499999999968,0.8000000000000002,1.1102230246251565e-16,0.0,-0.002144964865874499,0.014122489094734191,2.952140176296234,0.003515312842867946,0.00029839621377796666,389.2517776489258
15,90000,166401976.64257812,0.0,0.0,0.04999999999999716,0.8000000000000002,1.1102230246251565e-16,0.0,-0.0020775547018274665,0.0159550036303699,2.967987895011902,0.0041711060117371355,0.000298159406918973,418.1530747413635
16,96000,165178445.07617188,0.0,0.0,0.07916666666666217,0.8000000000000002,1.1102230246251565e-16,0.0,-0.00203098185302224,0.01684762556105852,2.9815724730491637,0.004603260165034628,0.0002979064075420404,447.6506407260895
