condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m,training_seed
formal_ablation_full_case1,case1,full,1,98401,0,3,3,1,1,1,0.2000000000000028,0.0888888888888909,0.0600921481702108,1.0046400347946929,25.150000000000222,0.2809000685568973,8303
formal_ablation_full_case1,case1,full,1,98401,1,3,3,1,1,1,0.1000000000000014,0.0333333333333338,0.0254181973924404,1.2312938701358247,26.10000000000024,0.8832207597447805,8303
formal_ablation_full_case1,case1,full,1,98401,2,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.0427005204369425,0.6505748806131678,24.60000000000021,0.6505748806131678,8303
formal_ablation_full_case1,case1,full,1,98401,3,3,3,1,1,1,0.0500000000000007,0.0222222222222233,0.0094568970975783,1.4064150609002375,26.750000000000245,1.4064150609002375,8303
formal_ablation_full_case1,case1,full,1,98401,4,2,2,1,1,1,0.1000000000000014,0.0500000000000007,0.0240676826876122,1.063160853860194,25.900000000000237,1.063160853860194,8303
formal_ablation_full_case1,case1,full,1,98401,5,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.07640957619679,2.3208667363049957,26.50000000000024,1.6263904877114663,8303
formal_ablation_full_case1,case1,full,1,98401,6,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0489578767159856,1.420949421160003,24.850000000000215,0.7938627557836786,8303
formal_ablation_full_case1,case1,full,1,98401,7,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0395927262041114,2.106500389077218,25.200000000000223,1.4274936978883244,8303
formal_ablation_full_case1,case1,full,2,98402,0,3,3,1,1,1,0.2000000000000028,0.0888888888888897,0.0893925577277807,1.0880338641290352,26.45000000000024,0.6494976775961626,8303
formal_ablation_full_case1,case1,full,2,98402,1,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.0308818242729705,2.2137867592154348,24.750000000000217,1.2650824350761667,8303
formal_ablation_full_case1,case1,full,2,98402,2,3,3,1,1,1,0.1500000000000021,0.0555555555555547,0.0477636656317719,1.5081825827287434,26.25000000000024,0.5302831710241499,8303
formal_ablation_full_case1,case1,full,2,98402,3,3,3,1,1,1,0.2000000000000028,0.0888888888888897,0.0256536824308004,1.034775268558516,24.850000000000215,0.4307120652544763,8303
formal_ablation_full_case1,case1,full,2,98402,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0191936029963467,2.096057154044215,27.300000000000253,1.125932623423181,8303
formal_ablation_full_case1,case1,full,2,98402,5,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.017767207880555,0.6969061527307528,24.500000000000213,0.2847090786129138,8303
formal_ablation_full_case1,case1,full,2,98402,6,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0199244197613051,1.0072184965968822,28.800000000000274,0.3995142789698154,8303
formal_ablation_full_case1,case1,full,2,98402,7,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0205748445198578,1.6784255576003495,26.45000000000024,0.4704440911813534,8303
formal_ablation_full_case1,case1,full,3,98403,0,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.0362822916426308,2.178732156656435,28.250000000000263,1.11224503974774,8303
formal_ablation_full_case1,case1,full,3,98403,1,3,3,1,1,1,0.2000000000000028,0.0777777777777792,0.0381513455379197,1.2351139963905853,27.550000000000257,0.7897420731903534,8303
formal_ablation_full_case1,case1,full,3,98403,2,3,3,1,1,1,0.1500000000000021,0.0666666666666664,0.0237783764429047,1.7482117000892494,24.700000000000216,0.9366402780110428,8303
formal_ablation_full_case1,case1,full,3,98403,3,3,3,1,1,1,0.2000000000000028,0.0777777777777792,0.0270392608189483,0.3010863075136158,26.25000000000024,0.2245519184456122,8303
formal_ablation_full_case1,case1,full,3,98403,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0292279192740282,1.0639246789136236,26.650000000000244,0.6960375362902511,8303
formal_ablation_full_case1,case1,full,3,98403,5,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0321738046605255,1.420651136236398,27.40000000000025,1.074538546945841,8303
formal_ablation_full_case1,case1,full,3,98403,6,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0171467614726667,1.281712064766217,29.30000000000028,0.2503801407350804,8303
formal_ablation_full_case1,case1,full,3,98403,7,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0263484730428786,0.302558345087154,26.750000000000245,0.302558345087154,8303
formal_ablation_full_case1,case1,full,4,98404,0,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.0115742792821512,1.372585857990287,28.050000000000264,0.7746241315811467,8303
formal_ablation_full_case1,case1,full,4,98404,1,3,3,1,1,1,0.2000000000000028,0.0777777777777781,0.0115805964698842,0.5191060755793333,27.10000000000025,0.5191060755793333,8303
formal_ablation_full_case1,case1,full,4,98404,2,3,3,1,1,1,0.1000000000000014,0.0444444444444442,0.0222326058093789,1.4009552514725574,23.250000000000195,1.4009552514725574,8303
formal_ablation_full_case1,case1,full,4,98404,3,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.0120558931947619,1.6318255148467842,27.600000000000257,0.642795578312227,8303
formal_ablation_full_case1,case1,full,4,98404,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0237340194206832,1.3805064197085837,28.750000000000277,0.6742785489711812,8303
formal_ablation_full_case1,case1,full,4,98404,5,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0281586616617429,2.1583144787462576,25.05000000000022,1.6440528936371048,8303
formal_ablation_full_case1,case1,full,4,98404,6,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0485399079204551,1.3884339696328998,27.20000000000025,1.3884339696328998,8303
formal_ablation_full_case1,case1,full,4,98404,7,2,2,1,1,1,0.2500000000000035,0.1250000000000017,0.0501425188964327,1.363047948187384,25.300000000000225,0.3467792809942774,8303
formal_ablation_full_case1,case1,full,5,98405,0,3,3,1,1,1,0.2000000000000028,0.0888888888888909,0.0592947166406419,2.1750704751235,25.550000000000228,1.119986140006137,8303
formal_ablation_full_case1,case1,full,5,98405,1,3,3,1,1,1,0.2000000000000028,0.0777777777777781,0.0073645937459006,1.4492285073888682,26.050000000000235,0.7530220064228631,8303
formal_ablation_full_case1,case1,full,5,98405,2,3,3,1,1,1,0.1000000000000014,0.0444444444444454,0.0489303944439965,1.3861533962389767,28.000000000000263,0.8599718291350755,8303
formal_ablation_full_case1,case1,full,5,98405,3,3,3,1,1,1,0.2000000000000028,0.0888888888888897,0.0441060764214359,1.2602671125876388,28.45000000000027,0.398352030945593,8303
formal_ablation_full_case1,case1,full,5,98405,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0251984334609034,1.1916440683079368,25.200000000000223,0.6058290346360977,8303
formal_ablation_full_case1,case1,full,5,98405,5,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0504293869810031,0.4433706594491181,25.60000000000023,0.4433706594491181,8303
formal_ablation_full_case1,case1,full,5,98405,6,2,2,1,1,1,0.2000000000000028,0.1000000000000014,0.0271798146620063,1.2710050500244257,29.650000000000286,0.5698522619909526,8303
formal_ablation_full_case1,case1,full,5,98405,7,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0199051832602638,1.121583333238595,27.75000000000026,0.6542649782346948,8303
formal_ablation_full_case1,case1,full,6,98406,0,3,3,1,1,1,0.2500000000000035,0.0888888888888909,0.0199724059877706,1.1030008705548315,26.000000000000234,0.509887828218469,8303
formal_ablation_full_case1,case1,full,6,98406,1,3,3,1,1,1,0.1000000000000014,0.0444444444444454,0.0123766200455695,2.552915195862345,26.10000000000024,2.1137436313667086,8303
formal_ablation_full_case1,case1,full,6,98406,2,3,3,1,1,1,0.2000000000000028,0.0777777777777792,0.0270015385663969,1.6950921942139097,28.350000000000268,0.5273801643876567,8303
formal_ablation_full_case1,case1,full,6,98406,3,3,3,1,1,1,0.1500000000000021,0.0666666666666676,0.019001818537899,1.5211156192119557,29.00000000000028,0.6588551324801256,8303
formal_ablation_full_case1,case1,full,6,98406,4,2,2,1,1,1,0.1500000000000021,0.075000000000001,0.0225375345986236,0.9926681514391082,28.000000000000263,0.9926681514391082,8303
formal_ablation_full_case1,case1,full,6,98406,5,2,2,1,1,1,0.2500000000000035,0.1250000000000017,0.0385129665694516,2.2073048868980187,28.250000000000263,1.0084074124853004,8303
