case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,1,90045,4,4,24.850000000000218,0.08390687399892428,1.6185425468199588
case2,1,90045,12,4,24.850000000000218,0.6236889702211639,2.110495870140574
case2,1,90045,9,1,26.150000000000237,0.0737827722227479,1.4031028001542725
case2,1,90045,1,1,26.200000000000237,0.028055018559949546,2.3728846588450057
case2,1,90045,14,6,26.250000000000238,0.07100561272623834,1.8516470180123348
case2,1,90045,6,6,26.35000000000024,0.06190784227873866,2.539591786511002
case2,1,90045,5,5,26.750000000000245,0.19586895115087394,1.1031236772628479
case2,1,90045,13,5,26.750000000000245,0.108393553330759,1.088720983286841
case2,1,90045,7,7,27.550000000000257,0.2914054667033983,0.5008342192289139
case2,1,90045,15,7,27.550000000000257,0.24042581087323148,0.7548781447519165
case2,1,90045,19,3,28.100000000000264,0.11718803564005012,2.480387502759516
case2,1,90045,3,3,28.150000000000265,0.09700205706289008,2.112646947645279
case2,1,90045,0,0,29.15000000000028,0.1289881321711325,1.424320023978038
case2,1,90045,8,0,29.15000000000028,0.4419594932873101,1.4204934822783877
case2,1,90045,16,0,29.30000000000028,0.1962725022487497,1.7108706708576504
case2,1,90045,10,2,37.200000000000024,0.33623259169688413,2.451402191228658
case2,1,90045,2,2,37.25000000000002,0.18183555488643563,2.059285119606948
