case,episode,seed,target_index,assigned_defenders,active_defenders,active_hits,target_covered,active_group_complete,coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
case2,1,90045,0,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.2557400425690641,1.5185613923713586,29.30000000000028
case2,1,90045,1,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.05091889539134872,1.8879937294996392,26.200000000000237
case2,1,90045,2,3,3,2,1,0,0,0.04999999999999716,0.02499999999999858,0.2590340732916599,2.255343655417803,37.25000000000002
case2,1,90045,3,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1070950463514701,2.2965172252023978,28.150000000000265
case2,1,90045,4,2,2,2,1,1,1,0.0,0.0,0.35379792211004407,1.8645192084802664,24.850000000000218
case2,1,90045,5,2,2,2,1,1,1,0.0,0.0,0.15213125224081647,1.0959223302748444,26.750000000000245
case2,1,90045,6,2,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.0664567275024885,2.195619402261668,26.35000000000024
case2,1,90045,7,2,2,2,1,1,1,0.0,0.0,0.26591563878831487,0.6278561819904152,27.550000000000257
